f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc
1.000000000000000056e-01,0.000000000000000000e+00,6.999999868639861234e-08,-2.984329108599999927e+02
1.023292989999999986e-01,0.000000000000000000e+00,-3.600000013648241293e-07,-2.963805907400000024e+02
1.047128549999999936e-01,0.000000000000000000e+00,2.699999868127633817e-07,-2.968339834500000052e+02
1.071519310000000058e-01,0.000000000000000000e+00,-4.599999954280065140e-07,-2.973638105900000141e+02
1.096478199999999931e-01,0.000000000000000000e+00,-1.699999927495809970e-07,-2.924336397800000213e+02
1.122018449999999945e-01,0.000000000000000000e+00,2.400000198576890398e-07,-2.951392486500000132e+02
1.148153620000000041e-01,0.000000000000000000e+00,4.900000192264997168e-07,-3.011520928500000309e+02
1.174897550000000013e-01,0.000000000000000000e+00,-1.299999894399661571e-07,-3.019905559900000185e+02
1.202264430000000023e-01,0.000000000000000000e+00,6.999999868639861234e-08,-2.951539126300000362e+02
1.230268770000000067e-01,0.000000000000000000e+00,1.500000053056282923e-07,-2.964250923200000329e+02
1.258925409999999967e-01,0.000000000000000000e+00,4.100000126072700368e-07,-2.974046164900000235e+02
1.288249549999999910e-01,0.000000000000000000e+00,3.099999901223782217e-07,-3.001828205300000150e+02
1.318256740000000038e-01,0.000000000000000000e+00,3.300000059880403569e-07,-2.919154887400000007e+02
1.348962880000000031e-01,0.000000000000000000e+00,-6.999999868639861234e-08,-2.969092593099999817e+02
1.380384259999999919e-01,0.000000000000000000e+00,4.200000205401011044e-07,-2.984945683299999928e+02
1.412537540000000091e-01,0.000000000000000000e+00,-1.299999894399661571e-07,-3.017885327700000175e+02
1.445439769999999902e-01,0.000000000000000000e+00,2.000001586566213518e-08,-2.960195224899999857e+02
1.479108389999999884e-01,0.000000000000000000e+00,1.800000006824120646e-07,-2.997230232399999750e+02
1.513561250000000080e-01,0.000000000000000000e+00,1.799999722607026342e-07,-2.956056515999999874e+02
1.548816620000000033e-01,0.000000000000000000e+00,2.200000039920269046e-07,-2.956058490500000175e+02
1.584893189999999896e-01,0.000000000000000000e+00,-1.500000053056282923e-07,-3.028483519399999864e+02
1.621810099999999866e-01,0.000000000000000000e+00,-1.399999973727972247e-07,-3.012201294600000097e+02
1.659586909999999915e-01,0.000000000000000000e+00,2.000000165480741998e-07,-2.964850926800000366e+02
1.698243650000000049e-01,0.000000000000000000e+00,-8.000000661922967993e-08,-2.941057295200000112e+02
1.737800830000000019e-01,0.000000000000000000e+00,8.000000661922967993e-08,-2.956178537600000027e+02
1.778279409999999894e-01,0.000000000000000000e+00,-2.900000026784255169e-07,-2.956244470400000068e+02
1.819700860000000031e-01,0.000000000000000000e+00,-2.699999868127633817e-07,-2.964860648800000149e+02
1.862087139999999974e-01,0.000000000000000000e+00,-1.299999894399661571e-07,-3.019465326300000356e+02
1.905460720000000108e-01,0.000000000000000000e+00,-3.500000218537024921e-07,-2.997981275199999800e+02
1.949844599999999983e-01,0.000000000000000000e+00,3.100000185440876521e-07,-2.948466646499999797e+02
1.995262309999999983e-01,0.000000000000000000e+00,-2.700000152344728122e-07,-2.965025329800000122e+02
2.041737939999999918e-01,0.000000000000000000e+00,4.100000126072700368e-07,-2.948509483299999943e+02
2.089296129999999863e-01,0.000000000000000000e+00,4.300000000512227416e-07,-3.005008103999999776e+02
2.137962089999999871e-01,0.000000000000000000e+00,3.699999808759457665e-07,-2.934602077700000109e+02
2.187761619999999962e-01,0.000000000000000000e+00,3.199999980552092893e-07,-3.012578468699999803e+02
2.238721140000000109e-01,0.000000000000000000e+00,-2.399999914359796094e-07,-2.934641100299999721e+02
2.290867649999999978e-01,0.000000000000000000e+00,-3.699999808759457665e-07,-2.944887674500000116e+02
2.344228819999999991e-01,0.000000000000000000e+00,2.099999960591958370e-07,-2.998151062300000262e+02
2.398832919999999980e-01,0.000000000000000000e+00,1.100000019960134523e-07,-2.980120163400000024e+02
2.454708919999999961e-01,0.000000000000000000e+00,2.600000073016417446e-07,-2.952511016400000017e+02
2.511886429999999892e-01,0.000000000000000000e+00,-1.100000019960134523e-07,-3.020950458899999944e+02
2.570395779999999908e-01,0.000000000000000000e+00,4.399999795623443788e-07,-2.956562447299999690e+02
2.630267989999999778e-01,0.000000000000000000e+00,-3.899999967416079016e-07,-2.974901547299999720e+02
2.691534800000000005e-01,0.000000000000000000e+00,3.000000106112565845e-07,-2.934759903300000019e+02
2.754228699999999863e-01,0.000000000000000000e+00,-3.989999868281302042e-07,-2.985828118899999595e+02
2.818382930000000175e-01,0.000000000000000000e+00,-2.280000046539498726e-07,-2.970004056799999717e+02
2.884031499999999970e-01,0.000000000000000000e+00,2.209999934166262392e-07,-2.985795138600000200e+02
2.951209229999999795e-01,0.000000000000000000e+00,4.919999980756983859e-07,-3.005215125299999954e+02
3.019951719999999784e-01,0.000000000000000000e+00,2.529999960643181112e-07,-2.965348026899999923e+02
3.090295430000000176e-01,0.000000000000000000e+00,2.810000125919032143e-07,-2.952597462600000426e+02
3.162277660000000212e-01,0.000000000000000000e+00,4.469999907996680122e-07,-3.005254861000000233e+02
3.235936569999999790e-01,0.000000000000000000e+00,-2.880000238292268477e-07,-2.965375319600000239e+02
3.311311209999999727e-01,0.000000000000000000e+00,1.120000092669215519e-07,-2.970059245499999747e+02
3.388441560000000075e-01,0.000000000000000000e+00,-2.470000026733032428e-07,-2.960934064900000067e+02
3.467368499999999854e-01,0.000000000000000000e+00,-1.980000092771661002e-07,-2.991910043400000063e+02
3.548133889999999790e-01,0.000000000000000000e+00,4.829999795674666530e-07,-3.005235445999999797e+02
3.630780550000000106e-01,0.000000000000000000e+00,6.600001256629184354e-08,-2.975070166900000004e+02
3.715352290000000224e-01,0.000000000000000000e+00,-1.300000178616755875e-07,-2.956728119899999569e+02
3.801893960000000128e-01,0.000000000000000000e+00,2.539999854889174458e-07,-2.991937878100000034e+02
3.890451449999999811e-01,0.000000000000000000e+00,-3.859999821997917024e-07,-2.965428694000000291e+02
3.981071709999999819e-01,0.000000000000000000e+00,3.840000033505930332e-07,-2.952707069599999841e+02
4.073802779999999846e-01,0.000000000000000000e+00,2.999999537678377237e-08,-3.012881456500000468e+02
4.168693829999999823e-01,0.000000000000000000e+00,5.299997951624391135e-08,-2.975097395600000141e+02
4.265795190000000181e-01,0.000000000000000000e+00,-1.399999405293783639e-08,-2.945168277500000045e+02
4.365158319999999925e-01,0.000000000000000000e+00,3.939999828617146704e-07,-3.005323652200000311e+02
4.466835920000000182e-01,0.000000000000000000e+00,-1.240000244706607191e-07,-2.970150769300000206e+02
4.570881900000000053e-01,0.000000000000000000e+00,6.499999471998307854e-08,-3.005322967999999833e+02
4.677351410000000209e-01,0.000000000000000000e+00,-3.689999914513464319e-07,-2.952740656999999942e+02
4.786300920000000070e-01,0.000000000000000000e+00,2.810000125919032143e-07,-3.021171804900000097e+02
