f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc
1.000000000000000056e-01,-1.169999999994786322e-06,5.492600000138736505e-04,-1.063843791399999930e+02
1.023292989999999986e-01,-1.169999999994786322e-06,5.627299999844126432e-04,-1.061827317900000054e+02
1.047128549999999936e-01,-1.179999999934011612e-06,5.759000000011837983e-04,-1.059811463200000077e+02
1.071519310000000058e-01,-1.179999999934011612e-06,5.889400000000932778e-04,-1.057796223099999935e+02
1.096478199999999931e-01,-1.179999999934011612e-06,6.028300000195940811e-04,-1.055781563700000021e+02
1.122018449999999945e-01,-1.169999999994786322e-06,6.172800000001643639e-04,-1.053767461500000024e+02
1.148153620000000041e-01,-1.169999999994786322e-06,6.316599999820482481e-04,-1.051753922799999970e+02
1.174897550000000013e-01,-1.169999999994786322e-06,6.458800000075370917e-04,-1.049740913699999965e+02
1.202264430000000023e-01,-1.169999999994786322e-06,6.613099999981386645e-04,-1.047728409999999997e+02
1.230268770000000067e-01,-1.179999999934011612e-06,6.766600000105427171e-04,-1.045716406700000078e+02
1.258925409999999967e-01,-1.169999999994786322e-06,6.929500000012467353e-04,-1.043704878499999893e+02
1.288249549999999910e-01,-1.169999999994786322e-06,7.093000000111260306e-04,-1.041693819200000064e+02
1.318256740000000038e-01,-1.160000000055561031e-06,7.259600000111277041e-04,-1.039683201600000046e+02
1.348962880000000031e-01,-1.160000000055561031e-06,7.430999999940013367e-04,-1.037673017700000031e+02
1.380384259999999919e-01,-1.160000000055561031e-06,7.597899999893797940e-04,-1.035663248400000072e+02
1.412537540000000091e-01,-1.150000000116335741e-06,7.778700000073968113e-04,-1.033653873399999981e+02
1.445439769999999902e-01,-1.150000000116335741e-06,7.958799999983057205e-04,-1.031644891199999989e+02
1.479108389999999884e-01,-1.140000000177110451e-06,8.149399999979323184e-04,-1.029636279199999933e+02
1.513561250000000080e-01,-1.130000000237885160e-06,8.337000000153693691e-04,-1.027628016399999922e+02
1.548816620000000033e-01,-1.130000000237885160e-06,8.532199999820022640e-04,-1.025620102400000064e+02
1.584893189999999896e-01,-1.119999999854570660e-06,8.729099999982281588e-04,-1.023612517799999893e+02
1.621810099999999866e-01,-1.119999999854570660e-06,8.934499999782019586e-04,-1.021605251400000043e+02
1.659586909999999915e-01,-1.109999999915345370e-06,9.146999999813942850e-04,-1.019598289900000054e+02
1.698243650000000049e-01,-1.099999999976120080e-06,9.356300000149531115e-04,-1.017591622399999949e+02
1.737800830000000019e-01,-1.090000000036894789e-06,9.572699999864653364e-04,-1.015585236799999933e+02
1.778279409999999894e-01,-1.090000000036894789e-06,9.796100000016849663e-04,-1.013579121599999979e+02
1.819700860000000031e-01,-1.069999999714354999e-06,1.002569999997149353e-03,-1.011573266600000096e+02
1.862087139999999974e-01,-1.069999999714354999e-06,1.025909999981422516e-03,-1.009567661499999929e+02
1.905460720000000108e-01,-1.049999999835904418e-06,1.050190000000839063e-03,-1.007562295700000021e+02
1.949844599999999983e-01,-1.039999999896679128e-06,1.074710000011691591e-03,-1.005557160000000039e+02
1.995262309999999983e-01,-1.020000000018228548e-06,1.100460000003522509e-03,-1.003552245000000056e+02
2.041737939999999918e-01,-1.020000000018228548e-06,1.126050000010536678e-03,-1.001547540899999973e+02
2.089296129999999863e-01,-9.999999996956887571e-07,1.151699999979882705e-03,-9.995430407000000628e+01
2.137962089999999871e-01,-9.799999998172381765e-07,1.179180000008273055e-03,-9.975387340000000336e+01
2.187761619999999962e-01,-9.699999998780128863e-07,1.206749999994372047e-03,-9.955346142999999870e+01
2.238721140000000109e-01,-9.499999999995623057e-07,1.234170000003587120e-03,-9.935306739000000675e+01
2.290867649999999978e-01,-9.399999996162478055e-07,1.263590000007752678e-03,-9.915269045999998809e+01
2.344228819999999991e-01,-9.200000001818864348e-07,1.292580000011867014e-03,-9.895232984000000442e+01
2.398832919999999980e-01,-9.000000003034358542e-07,1.323100000007570998e-03,-9.875198509999999885e+01
2.454708919999999961e-01,-8.700000000416707735e-07,1.353399999999282954e-03,-9.855165528999999935e+01
2.511886429999999892e-01,-8.500000001632201929e-07,1.385090000013633471e-03,-9.835134007999999994e+01
2.570395779999999908e-01,-8.299999998406804025e-07,1.418038999986492854e-03,-9.815103850999999224e+01
2.630267989999999778e-01,-8.099999999622298219e-07,1.450377999987040312e-03,-9.795075032999999110e+01
2.691534800000000005e-01,-7.800000001445539510e-07,1.484490000024152323e-03,-9.775047478999999839e+01
2.754228699999999863e-01,-7.599999998220141606e-07,1.518975999999838677e-03,-9.755021133000001043e+01
2.818382930000000175e-01,-7.300000000043382897e-07,1.554643000019950705e-03,-9.734995951999999875e+01
2.884031499999999970e-01,-7.000000001866624189e-07,1.590483000001086111e-03,-9.714971884000000557e+01
2.951209229999999795e-01,-6.599999999856720478e-07,1.627663999983042231e-03,-9.694948886000000243e+01
3.019951719999999784e-01,-6.400000001072214673e-07,1.666512000014108708e-03,-9.674926897999999653e+01
3.090295430000000176e-01,-5.999999999062310962e-07,1.704500999977653919e-03,-9.654905893000000106e+01
3.162277660000000212e-01,-5.599999997052407252e-07,1.744242999990319731e-03,-9.634885814000000437e+01
3.235936569999999790e-01,-5.299999998875648544e-07,1.785473999973419268e-03,-9.614866628000000048e+01
3.311311209999999727e-01,-4.900000001306636932e-07,1.827052000010098709e-03,-9.594848303000000556e+01
3.388441560000000075e-01,-4.499999999296733222e-07,1.869945000009920477e-03,-9.574830792999999574e+01
3.467368499999999854e-01,-4.100000001727721610e-07,1.913226000027634655e-03,-9.554814062999999180e+01
3.548133889999999790e-01,-3.600000000325564997e-07,1.958067999993318153e-03,-9.534798080000000198e+01
3.630780550000000106e-01,-3.099999998923408384e-07,2.003738999974302715e-03,-9.514782818000000475e+01
3.715352290000000224e-01,-2.700000001354396773e-07,2.049600000020745938e-03,-9.494768243000000041e+01
3.801893960000000128e-01,-2.100000000559987257e-07,2.098098999994135738e-03,-9.474754315999999221e+01
3.890451449999999811e-01,-1.599999999157830644e-07,2.146771999974816936e-03,-9.454741020999999535e+01
3.981071709999999819e-01,-1.099999997755674030e-07,2.197241000004623857e-03,-9.434728327999999919e+01
4.073802779999999846e-01,-5.000000014021566130e-08,2.248213000001442197e-03,-9.414716201000000240e+01
4.168693829999999823e-01,1.999999987845058058e-08,2.300480000002380621e-03,-9.394704629999999668e+01
4.265795190000000181e-01,7.999999995789153218e-08,2.353921000008085684e-03,-9.374693587000000150e+01
4.365158319999999925e-01,1.499999999765577741e-07,2.408502200012208050e-03,-9.354683034000001385e+01
4.466835920000000182e-01,2.199999999952240159e-07,2.465278100004297812e-03,-9.334672976000000233e+01
4.570881900000000053e-01,2.999999999531155481e-07,2.522395800014010092e-03,-9.314663372000001118e+01
4.677351410000000209e-01,3.799999999110070803e-07,2.581096699998397526e-03,-9.294654210999999577e+01
4.786300920000000070e-01,4.499999999296733222e-07,2.641720000013947356e-03,-9.274645474000000434e+01
4.897788189999999764e-01,5.399999998267901447e-07,2.702706900009843594e-03,-9.254637130999999783e+01
5.011872339999999815e-01,6.300000001679961770e-07,2.765603999989707518e-03,-9.234629185999999379e+01
5.128613840000000312e-01,7.199999996210237896e-07,2.830070000015894038e-03,-9.214621601999999712e+01
5.248074600000000034e-01,8.199999999014551122e-07,2.895876999986057854e-03,-9.194614375999999822e+01
5.370317959999999502e-01,9.300000001211117251e-07,2.963921000002756045e-03,-9.174607482999999775e+01
5.495408739999999570e-01,1.039999999896679128e-06,3.033221000009689305e-03,-9.154600925999999106e+01
5.623413250000000030e-01,1.149999999672246531e-06,3.103933000005554277e-03,-9.134594672000000060e+01
5.754399369999999569e-01,1.269999999831128434e-06,3.175349000002825051e-03,-9.114588717000000884e+01
5.888436550000000214e-01,1.399999999929235628e-06,3.249909000004436166e-03,-9.094583045000000254e+01
6.025595860000000359e-01,1.520000000088117531e-06,3.325205999999525375e-03,-9.074577655000000220e+01
6.165950019999999476e-01,1.660000000125450015e-06,3.402991000001520661e-03,-9.054572523999999589e+01
6.309573440000000311e-01,1.799999999718693289e-06,3.482186999974601349e-03,-9.034567638000000045e+01
6.456542290000000239e-01,1.960000000078565563e-06,3.563888000002179979e-03,-9.014562999999999704e+01
6.606934479999999610e-01,2.110000000055123337e-06,3.646376000006057438e-03,-8.994558597999998995e+01
6.760829750000000304e-01,2.269999999970906401e-06,3.731122999994340717e-03,-8.974554410999999732e+01
6.918309710000000168e-01,2.450000000209229256e-06,3.818802000012055942e-03,-8.954550444000000198e+01
7.079457839999999669e-01,2.630000000003462901e-06,3.907297000012022181e-03,-8.934546681000000490e+01
7.244359599999999899e-01,2.819999999736921836e-06,3.998709000001099412e-03,-8.914543112999999153e+01
7.413102409999999809e-01,3.009999999914469981e-06,4.091369999997596096e-03,-8.894539737999998863e+01
7.585775750000000039e-01,3.219999999970468707e-06,4.186845999981869682e-03,-8.874536544999999421e+01
7.762471170000000420e-01,3.430000000026467433e-06,4.283952999998064115e-03,-8.854533528999999703e+01
7.943282350000000491e-01,3.659999999960916739e-06,4.383765000000039436e-03,-8.834530681999999047e+01
8.128305160000000029e-01,3.890000000339455255e-06,4.486622000001716515e-03,-8.814527997000000425e+01
8.317637709999999851e-01,4.139999999708265932e-06,4.591140000002269517e-03,-8.794525472999998783e+01
8.511380379999999857e-01,4.410000000287794819e-06,4.697239999984503811e-03,-8.774523098999999604e+01
8.709635900000000097e-01,4.670000000039919996e-06,4.807110000001557637e-03,-8.754520880000001171e+01
8.912509379999999926e-01,4.960000000053810254e-06,4.919290000003684327e-03,-8.734518801000000110e+01
9.120108390000000176e-01,5.260000000006925802e-06,5.033599999990201468e-03,-8.714516856000000189e+01
9.332543009999999528e-01,5.569999999899266641e-06,5.151240000003554087e-03,-8.694515056000000186e+01
9.549925860000000322e-01,5.899999999670058060e-06,5.270709999990685901e-03,-8.674513378999999702e+01
9.772372209999999892e-01,6.239999999824163979e-06,5.393900000001394801e-03,-8.654511836000000358e+01
1.000000000000000000e+00,6.599999999856720478e-06,5.519060000011677403e-03,-8.634510412000000201e+01
1.023292990000000069e+00,6.979999999767727559e-06,5.647820000007186536e-03,-8.614509112000000357e+01
1.047128550000000047e+00,7.370000000062049139e-06,5.779210000014245452e-03,-8.594507930999999701e+01
1.071519310000000003e+00,7.779999999790732090e-06,5.913660000004483663e-03,-8.574506859000000247e+01
1.096478199999999958e+00,8.210000000286044042e-06,6.052030000006425325e-03,-8.554505907000000775e+01
1.122018449999999889e+00,8.670000000154942654e-06,6.192609999999376669e-03,-8.534505065000000457e+01
1.148153619999999986e+00,9.139999999963066557e-06,6.337150000007341077e-03,-8.514504329999999754e+01
1.174897550000000068e+00,9.630000000093730250e-06,6.484860000000480795e-03,-8.494503706999999793e+01
1.202264430000000051e+00,1.015000000004206981e-05,6.635400000021718370e-03,-8.474503190999999447e+01
1.230268769999999900e+00,1.070000000025217446e-05,6.789959999991879158e-03,-8.454502784999999676e+01
1.258925410000000022e+00,1.127000000034072968e-05,6.948209999990240249e-03,-8.434502470000001040e+01
1.288249549999999966e+00,1.187000000024696078e-05,7.110360000012860837e-03,-8.414502275000000964e+01
1.318256740000000038e+00,1.249000000003164246e-05,7.276140000016084741e-03,-8.394502169000000436e+01
1.348962879999999975e+00,1.313999999963400001e-05,7.444839999976693434e-03,-8.374502177000000813e+01
1.380384260000000030e+00,1.381999999994221184e-05,7.618320000005951442e-03,-8.354502284999999517e+01
1.412537539999999980e+00,1.454000000000732484e-05,7.796020000000680739e-03,-8.334502494999999556e+01
1.445439769999999902e+00,1.528999999989011371e-05,7.977979999992612647e-03,-8.314502810000000466e+01
1.479108389999999940e+00,1.607999999997389295e-05,8.162859999998772764e-03,-8.294503226999999868e+01
