f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc
1.000000000000000056e-01,-9.099999997985719347e-07,1.170639999998002168e-03,-9.981090598999999486e+01
1.023292989999999986e-01,-9.100000002426611445e-07,1.198420000008582065e-03,-9.961025222000000667e+01
1.047128549999999936e-01,-9.000000003034358542e-07,1.226869999982227455e-03,-9.940962306000000126e+01
1.071519310000000058e-01,-9.100000002426611445e-07,1.254789999990180149e-03,-9.920901777000000266e+01
1.096478199999999931e-01,-8.999999998593466444e-07,1.284919999989142525e-03,-9.900843557000000317e+01
1.122018449999999945e-01,-9.000000003034358542e-07,1.314780000001292137e-03,-9.880787587000000372e+01
1.148153620000000041e-01,-8.899999999201213541e-07,1.345590000028096256e-03,-9.860733787999998867e+01
1.174897550000000013e-01,-8.799999999808960638e-07,1.376219999997374543e-03,-9.840682080999999926e+01
1.202264430000000023e-01,-8.799999999808960638e-07,1.409039999998640269e-03,-9.820632420999999113e+01
1.230268770000000067e-01,-8.700000000416707735e-07,1.441830000004529211e-03,-9.800584718000000350e+01
1.258925409999999967e-01,-8.600000001024454832e-07,1.475709999994023747e-03,-9.780538916000000427e+01
1.288249549999999910e-01,-8.600000001024454832e-07,1.510009999975636674e-03,-9.760494940999998903e+01
1.318256740000000038e-01,-8.499999997191309831e-07,1.545160000006262635e-03,-9.740452738999999838e+01
1.348962880000000031e-01,-8.399999997799056928e-07,1.580639999986033217e-03,-9.720412248000000943e+01
1.380384259999999919e-01,-8.299999998406804025e-07,1.617829999986497569e-03,-9.700373403000000394e+01
1.412537540000000091e-01,-8.300000002847696123e-07,1.655929999998306812e-03,-9.680336139000000628e+01
1.445439769999999902e-01,-8.099999999622298219e-07,1.693890000012743258e-03,-9.660300409000001309e+01
1.479108389999999884e-01,-8.099999999622298219e-07,1.734260000006315749e-03,-9.640266149999999357e+01
1.513561250000000080e-01,-7.900000000837792413e-07,1.774179999983971356e-03,-9.620233301000000381e+01
1.548816620000000033e-01,-7.800000001445539510e-07,1.816210000015416881e-03,-9.600201824000001238e+01
1.584893189999999896e-01,-7.600000002661033704e-07,1.858300000009194264e-03,-9.580171666999999047e+01
1.621810099999999866e-01,-7.499999998827888703e-07,1.901690000011058146e-03,-9.560142765999999881e+01
1.659586909999999915e-01,-7.300000000043382897e-07,1.945830000011028460e-03,-9.540115070999999602e+01
1.698243650000000049e-01,-7.200000000651129994e-07,1.991320000001906010e-03,-9.520088547999999662e+01
1.737800830000000019e-01,-6.999999997425732090e-07,2.037799999982325971e-03,-9.500063149999999723e+01
1.778279409999999894e-01,-6.799999998641226284e-07,2.084920000015699770e-03,-9.480038833000000409e+01
1.819700860000000031e-01,-6.599999999856720478e-07,2.133259999993697420e-03,-9.460015542000000721e+01
