f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc
1.000000000000000056e-01,-5.899999999670058060e-07,2.637640000017427155e-03,-9.275791356999999948e+01
1.023292989999999986e-01,-5.799999995836913058e-07,2.699690000014243196e-03,-9.255768030999999496e+01
1.047128549999999936e-01,-5.699999996444660155e-07,2.762230000001864028e-03,-9.235745571999999015e+01
1.071519310000000058e-01,-5.600000001493299351e-07,2.827139999993732999e-03,-9.215723979999999926e+01
1.096478199999999931e-01,-5.499999997660154349e-07,2.893139999997629275e-03,-9.195703198000001066e+01
1.122018449999999945e-01,-5.400000002708793545e-07,2.959670000024061665e-03,-9.175683220000000517e+01
1.148153620000000041e-01,-5.199999999483395641e-07,3.028799999981401925e-03,-9.155664018000000226e+01
1.174897550000000013e-01,-5.100000000091142738e-07,3.100160000002460947e-03,-9.135645556000000056e+01
1.202264430000000023e-01,-5.000000000698889835e-07,3.171810000026198395e-03,-9.115627830999999048e+01
1.230268770000000067e-01,-4.800000001914384029e-07,3.246149999995395774e-03,-9.095610794999998916e+01
1.258925409999999967e-01,-4.699999998081239028e-07,3.321859999999787760e-03,-9.075594443000001377e+01
1.288249549999999910e-01,-4.499999999296733222e-07,3.398750000002337401e-03,-9.055578744999999685e+01
1.318256740000000038e-01,-4.399999999904480319e-07,3.478709999995999169e-03,-9.035563670000000513e+01
1.348962880000000031e-01,-4.100000001727721610e-07,3.559559999985140166e-03,-9.015549216000000854e+01
1.380384259999999919e-01,-3.899999998502323706e-07,3.642010000021400629e-03,-8.995535343000000239e+01
1.412537540000000091e-01,-3.799999999110070803e-07,3.727519999983996968e-03,-8.975522028000000319e+01
1.445439769999999902e-01,-3.499999996492419996e-07,3.814239999996971164e-03,-8.955509268000000134e+01
1.479108389999999884e-01,-3.200000002756553386e-07,3.902889999977787738e-03,-8.935497035999999582e+01
1.513561250000000080e-01,-2.999999999531155481e-07,3.993710000003147798e-03,-8.915485311000000479e+01
1.548816620000000033e-01,-2.800000000746649675e-07,4.087339999983896632e-03,-8.895474070999999583e+01
1.584893189999999896e-01,-2.499999998128998868e-07,4.182750000012447344e-03,-8.875463300000001254e+01
1.621810099999999866e-01,-2.199999999952240159e-07,4.280179999994970785e-03,-8.855452978000000996e+01
1.659586909999999915e-01,-1.899999997334589352e-07,4.380010000005540860e-03,-8.835443100999999899e+01
1.698243650000000049e-01,-1.599999999157830644e-07,4.481760000004442190e-03,-8.815433631000000503e+01
1.737800830000000019e-01,-1.300000000981071935e-07,4.585969999993722013e-03,-8.795424565999999800e+01
1.778279409999999894e-01,-9.000000034120603232e-08,4.693120000013095705e-03,-8.775415880999999274e+01
1.819700860000000031e-01,-6.000000007944095159e-08,4.802630000000362998e-03,-8.755407574999999554e+01
1.862087139999999974e-01,-2.999999981767587087e-08,4.913719999990462384e-03,-8.735399626000000239e+01
1.905460720000000108e-01,1.999999987845058058e-08,5.028409999994210011e-03,-8.715392014999999049e+01
1.949844599999999983e-01,6.000000007944095159e-08,5.145459999994272948e-03,-8.695384722000000011e+01
1.995262309999999983e-01,1.000000002804313226e-07,5.266259999984868045e-03,-8.675377763000000186e+01
2.041737939999999918e-01,1.499999999765577741e-07,5.388870000018641804e-03,-8.655371089999999867e+01
2.089296129999999863e-01,2.000000001167734354e-07,5.513890000003129899e-03,-8.635364723000000708e+01
2.137962089999999871e-01,2.499999998128998868e-07,5.642480000005889451e-03,-8.615358627999999896e+01
2.187761619999999962e-01,2.999999999531155481e-07,5.774279999997133928e-03,-8.595352789999999743e+01
2.238721140000000109e-01,3.600000000325564997e-07,5.908360000006496193e-03,-8.575347220999999820e+01
2.290867649999999978e-01,4.199999996679082415e-07,6.046259999976655308e-03,-8.555341891999999859e+01
2.344228819999999991e-01,4.799999997473491931e-07,6.186850000005961192e-03,-8.535336809999999730e+01
2.398832919999999980e-01,5.500000002101046448e-07,6.331369999998059939e-03,-8.515331943999998998e+01
2.454708919999999961e-01,6.099999998454563865e-07,6.478399999991779623e-03,-8.495327298999998789e+01
2.511886429999999892e-01,6.799999998641226284e-07,6.629779999997253981e-03,-8.475322861000000785e+01
2.570395779999999908e-01,7.600000002661033704e-07,6.783639999980550783e-03,-8.455318615000000193e+01
2.630267989999999778e-01,8.299999998406804025e-07,6.942350000002761590e-03,-8.435314576000000386e+01
2.691534800000000005e-01,9.200000001818864348e-07,7.103493000016669612e-03,-8.415310707999999806e+01
2.754228699999999863e-01,1.000000000139777967e-06,7.269875999980968118e-03,-8.395307017999999744e+01
2.818382930000000175e-01,1.090000000036894789e-06,7.438473999997086139e-03,-8.375303501000000495e+01
2.884031499999999970e-01,1.180000000378100822e-06,7.612434999998640706e-03,-8.355300144000000273e+01
2.951209229999999795e-01,1.280000000214442935e-06,7.789059000003817346e-03,-8.335296947000000500e+01
3.019951719999999784e-01,1.389999999990010338e-06,7.970784999997704290e-03,-8.315293889000000149e+01
3.090295430000000176e-01,1.489999999826352450e-06,8.156179000025076675e-03,-8.295290982999999585e+01
3.162277660000000212e-01,1.600000000046009063e-06,8.346920000008140050e-03,-8.275288213000000326e+01
3.235936569999999790e-01,1.719999999760801757e-06,8.540795999977035535e-03,-8.255285564999999792e+01
3.311311209999999727e-01,1.849999999858908950e-06,8.739686000012625300e-03,-8.235283049999999605e+01
3.388441560000000075e-01,1.970000000017790853e-06,8.943560000005845723e-03,-8.215280658999999730e+01
3.467368499999999854e-01,2.109999999611034127e-06,9.151470000006156624e-03,-8.195278387999999836e+01
3.548133889999999790e-01,2.249999999648366611e-06,9.365540999993982041e-03,-8.175276216999999690e+01
3.630780550000000106e-01,2.399999999624924385e-06,9.582969999996748811e-03,-8.155274167999999690e+01
3.715352290000000224e-01,2.549999999601482159e-06,9.807022000018150720e-03,-8.135272206999999867e+01
3.801893960000000128e-01,2.719999999900579724e-06,1.003502099999309394e-02,-8.115270356999999990e+01
3.890451449999999811e-01,2.890000000199677288e-06,1.026835499999378953e-02,-8.095268602000000158e+01
3.981071709999999819e-01,3.069999999993910933e-06,1.050747000002161258e-02,-8.075266931999999542e+01
4.073802779999999846e-01,3.259999999727369868e-06,1.075286800002572818e-02,-8.055265360999999302e+01
4.168693829999999823e-01,3.449999999904918013e-06,1.100311000001852335e-02,-8.035263869999999997e+01
4.265795190000000181e-01,3.659999999960916739e-06,1.125981199999159799e-02,-8.015262464000001330e+01
4.365158319999999925e-01,3.870000000016915465e-06,1.152164999999172323e-02,-7.995261132000000259e+01
4.466835920000000182e-01,4.090000000012139481e-06,1.179035699999531062e-02,-7.975259880999999496e+01
4.570881900000000053e-01,4.329999999885814077e-06,1.206472800001279211e-02,-7.955258701000001054e+01
4.677351410000000209e-01,4.569999999759488674e-06,1.234562170000685910e-02,-7.935257601000000705e+01
4.786300920000000070e-01,4.829999999955703061e-06,1.263395940000577866e-02,-7.915256564000000594e+01
4.897788189999999764e-01,5.100000000091142738e-06,1.292773329998908594e-02,-7.895255599000000757e+01
5.011872339999999815e-01,5.390000000105032996e-06,1.322900700000673169e-02,-7.875254693000000827e+01
5.128613840000000312e-01,5.689999999614059334e-06,1.353691999997863604e-02,-7.855253858000000378e+01
5.248074600000000034e-01,5.999999999950489382e-06,1.385269190001281459e-02,-7.835253081999999836e+01
5.370317959999999502e-01,6.329999999721280801e-06,1.417462700001692610e-02,-7.815252361999999664e+01
5.495408739999999570e-01,6.669999999875386720e-06,1.450511999999548607e-02,-7.795251701000000821e+01
5.623413250000000030e-01,7.030000000352032430e-06,1.484265999999934138e-02,-7.775251106999999706e+01
5.754399369999999569e-01,7.399999999879725010e-06,1.518883500000356435e-02,-7.755250558999999555e+01
5.888436550000000214e-01,7.789999999729957381e-06,1.554234200000337296e-02,-7.735250068999999939e+01
6.025595860000000359e-01,8.199999999902729542e-06,1.590498800001682866e-02,-7.715249638999999604e+01
6.165950019999999476e-01,8.629999999953952283e-06,1.627470100001460196e-02,-7.695249257999999770e+01
6.309573440000000311e-01,9.079999999883625605e-06,1.665453200001820733e-02,-7.675248932999998885e+01
6.456542290000000239e-01,9.550000000135838718e-06,1.704266600000892140e-02,-7.655248656000000551e+01
6.606934479999999610e-01,1.003999999982241320e-05,1.743942699999934121e-02,-7.635248429000000669e+01
6.760829750000000304e-01,1.055999999977075277e-05,1.784528499999282758e-02,-7.615248262000000068e+01
6.918309710000000168e-01,1.110000000004163212e-05,1.826086400001258880e-02,-7.595248131000001024e+01
7.079457839999999669e-01,1.165999999974687285e-05,1.868595099998060505e-02,-7.575248062000000004e+01
7.244359599999999899e-01,1.226000000009719315e-05,1.912150399999745787e-02,-7.555248038000000577e+01
7.413102409999999809e-01,1.288000000032596404e-05,1.956665599999496408e-02,-7.535248068999999305e+01
7.585775750000000039e-01,1.352999999992832159e-05,2.002273100001161765e-02,-7.515248144999999624e+01
7.762471170000000420e-01,1.421000000023653342e-05,2.048924400000373680e-02,-7.495248272999999983e+01
7.943282350000000491e-01,1.492999999985755721e-05,2.096591799997327144e-02,-7.475248449000000051e+01
8.128305160000000029e-01,1.567000000024521000e-05,2.145468599999844628e-02,-7.455248675999999364e+01
8.317637709999999851e-01,1.644999999994567474e-05,2.195470499998464220e-02,-7.435248955999999509e+01
8.511380379999999857e-01,1.726999999984712986e-05,2.246536500001639070e-02,-7.415249291000000653e+01
8.709635900000000097e-01,1.812000000001035005e-05,2.298929399998428380e-02,-7.395249678000000415e+01
8.912509379999999926e-01,1.901999999986969669e-05,2.352437499999382453e-02,-7.375250115000000051e+01
9.120108390000000176e-01,1.995999999993003371e-05,2.407275000001618537e-02,-7.355250608000000057e+01
9.332543009999999528e-01,2.095000000013058639e-05,2.463283000000160428e-02,-7.335251150999999936e+01
9.549925860000000322e-01,2.196999999970472572e-05,2.520731999999270556e-02,-7.315251758000000848e+01
9.772372209999999892e-01,2.304999999980239522e-05,2.579419999997867308e-02,-7.295252418000001171e+01
1.000000000000000000e+00,2.418999999997950567e-05,2.639476000001650391e-02,-7.275253143999999850e+01
1.023292990000000069e+00,2.535999999997429200e-05,2.700960999999324486e-02,-7.255253921999999989e+01
1.047128550000000047e+00,2.660999999992696985e-05,2.763867000001596352e-02,-7.235254770000000235e+01
