f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc
1.000000000000000056e-01,-8.899999999201213541e-07,2.220169999986865150e-03,-9.425365089000000296e+01
1.023292989999999986e-01,-8.799999999808960638e-07,2.272470000008297575e-03,-9.405328179999999350e+01
1.047128549999999936e-01,-8.700000000416707735e-07,2.325060000003986715e-03,-9.385292656000000022e+01
1.071519310000000058e-01,-8.700000000416707735e-07,2.379630000007182389e-03,-9.365258482999999501e+01
1.096478199999999931e-01,-8.600000001024454832e-07,2.435430000019778163e-03,-9.345225608999999167e+01
1.122018449999999945e-01,-8.500000001632201929e-07,2.492200000006050686e-03,-9.325194000999999844e+01
1.148153620000000041e-01,-8.399999997799056928e-07,2.550069999983861635e-03,-9.305163607000000070e+01
1.174897550000000013e-01,-8.399999997799056928e-07,2.609470000010105650e-03,-9.285134401999999909e+01
1.202264430000000023e-01,-8.200000003455443220e-07,2.670080000001462395e-03,-9.265106346999999687e+01
1.230268770000000067e-01,-8.099999999622298219e-07,2.732679999979836793e-03,-9.245079388999999992e+01
1.258925409999999967e-01,-7.900000000837792413e-07,2.796110000019780273e-03,-9.225053507000001218e+01
1.288249549999999910e-01,-7.800000001445539510e-07,2.862169999986008406e-03,-9.205028663999999594e+01
1.318256740000000038e-01,-7.700000002053286607e-07,2.928510000003825553e-03,-9.185004812000001095e+01
1.348962880000000031e-01,-7.600000002661033704e-07,2.996570000021847591e-03,-9.164981927999998845e+01
1.380384259999999919e-01,-7.300000000043382897e-07,3.066450000005715992e-03,-9.144959975000000441e+01
1.412537540000000091e-01,-7.200000000651129994e-07,3.137879999997039704e-03,-9.124938909000000820e+01
1.445439769999999902e-01,-7.000000001866624189e-07,3.211100000015676414e-03,-9.104918711999999914e+01
1.479108389999999884e-01,-6.799999998641226284e-07,3.285770000019283543e-03,-9.084899345999998843e+01
1.513561250000000080e-01,-6.599999999856720478e-07,3.362939999988157069e-03,-9.064880782000000181e+01
1.548816620000000033e-01,-6.400000001072214673e-07,3.440899999986868352e-03,-9.044862986999999066e+01
1.584893189999999896e-01,-6.099999998454563865e-07,3.521179999978585329e-03,-9.024845926000000418e+01
1.621810099999999866e-01,-5.900000004110950158e-07,3.603409999982432055e-03,-9.004829592000000105e+01
1.659586909999999915e-01,-5.600000001493299351e-07,3.687310000003662935e-03,-8.984813934000000302e+01
1.698243650000000049e-01,-5.399999998267901447e-07,3.773580000000720247e-03,-8.964798940999999388e+01
1.737800830000000019e-01,-5.100000000091142738e-07,3.861860000000660875e-03,-8.944784586000000104e+01
1.778279409999999894e-01,-4.800000001914384029e-07,3.951659999984258320e-03,-8.924770829999999933e+01
1.819700860000000031e-01,-4.500000003737625320e-07,4.043299999977989501e-03,-8.904757663000000889e+01
1.862087139999999974e-01,-4.100000001727721610e-07,4.137880000001814551e-03,-8.884745060999999566e+01
1.905460720000000108e-01,-3.800000003550962901e-07,4.234169999989489952e-03,-8.864733006999999532e+01
1.949844599999999983e-01,-3.400000001541059191e-07,4.332620000013776007e-03,-8.844721461999999690e+01
1.995262309999999983e-01,-2.999999999531155481e-07,4.434289999977636398e-03,-8.824710416000000635e+01
2.041737939999999918e-01,-2.600000001962143870e-07,4.537809999987985066e-03,-8.804699843999999587e+01
2.089296129999999863e-01,-2.199999999952240159e-07,4.643310000005840266e-03,-8.784689733999999817e+01
2.137962089999999871e-01,-1.699999998550083546e-07,4.751429999998890708e-03,-8.764680067000000463e+01
2.187761619999999962e-01,-1.300000000981071935e-07,4.862239999994244499e-03,-8.744670816000000002e+01
2.238721140000000109e-01,-7.999999995789153218e-08,4.975239999993164020e-03,-8.724661971999999821e+01
2.290867649999999978e-01,-3.000000026176508072e-08,5.091270000008307761e-03,-8.704653516000000479e+01
2.344228819999999991e-01,1.999999987845058058e-08,5.209580000013147583e-03,-8.684645426000000157e+01
2.398832919999999980e-01,7.999999995789153218e-08,5.331689999991340301e-03,-8.664637693000000240e+01
2.454708919999999961e-01,1.400000000373324838e-07,5.455431999990878467e-03,-8.644630305000001158e+01
2.511886429999999892e-01,2.000000001167734354e-07,5.582916999998133178e-03,-8.624623251999999241e+01
2.570395779999999908e-01,2.700000001354396773e-07,5.712490999997044128e-03,-8.604616504000000532e+01
2.630267989999999778e-01,3.400000001541059191e-07,5.845734000018865117e-03,-8.584610062000000141e+01
2.691534800000000005e-01,4.099999997286829512e-07,5.982431000006727118e-03,-8.564603907000000049e+01
2.754228699999999863e-01,4.900000001306636932e-07,6.121555999982319918e-03,-8.544598023000000353e+01
2.818382930000000175e-01,5.600000001493299351e-07,6.264259000005267808e-03,-8.524592415000000756e+01
2.884031499999999970e-01,6.499999996023575477e-07,6.409847999975681887e-03,-8.504587047999999072e+01
2.951209229999999795e-01,7.399999999435635800e-07,6.559777000006761227e-03,-8.484581933000001186e+01
3.019951719999999784e-01,8.300000002847696123e-07,6.712630999999191772e-03,-8.464577049000000386e+01
3.090295430000000176e-01,9.300000001211117251e-07,6.868120999996563114e-03,-8.444572390999999811e+01
3.162277660000000212e-01,1.020000000018228548e-06,7.029068999997889478e-03,-8.424567946000000518e+01
3.235936569999999790e-01,1.130000000237885160e-06,7.192400999997516919e-03,-8.404563703000000885e+01
3.311311209999999727e-01,1.240000000013452564e-06,7.360140000002957095e-03,-8.384559665000000450e+01
3.388441560000000075e-01,1.349999999789019967e-06,7.531397000008155374e-03,-8.364555810000000236e+01
3.467368499999999854e-01,1.469999999947901870e-06,7.706369999993967213e-03,-8.344552138999999613e+01
3.548133889999999790e-01,1.590000000106783773e-06,7.886333000016065853e-03,-8.324548635000000729e+01
3.630780550000000106e-01,1.730000000144116257e-06,8.069637000005513983e-03,-8.304545309000000941e+01
3.715352290000000224e-01,1.859999999798134240e-06,8.257704000016019563e-03,-8.284542134000000146e+01
3.801893960000000128e-01,2.009999999774692014e-06,8.450025000001915032e-03,-8.264539116999999635e+01
3.890451449999999811e-01,2.159999999751249788e-06,8.647158999991688688e-03,-8.244536243000000297e+01
3.981071709999999819e-01,2.330000000050347353e-06,8.848730000011073571e-03,-8.224533509999999126e+01
4.073802779999999846e-01,2.489999999966130417e-06,9.055429000000003725e-03,-8.204530920999999921e+01
4.168693829999999823e-01,2.660000000265227982e-06,9.266010999994023223e-03,-8.184528455000000235e+01
4.265795190000000181e-01,2.849999999998686917e-06,9.481298000025617512e-03,-8.164526118000000565e+01
4.365158319999999925e-01,3.040000000176235062e-06,9.702177999997729785e-03,-8.144523909000000117e+01
4.466835920000000182e-01,3.240000000293008497e-06,9.928608199999189310e-03,-8.124521803999999747e+01
4.570881900000000053e-01,3.449999999904918013e-06,1.015961699999934353e-02,-8.104519817999999987e+01
4.677351410000000209e-01,3.659999999960916739e-06,1.039630520000400793e-02,-8.084517936999999677e+01
4.786300920000000070e-01,3.889999999895366045e-06,1.063884979998874769e-02,-8.064516168999999479e+01
4.897788189999999764e-01,4.140000000152355142e-06,1.088650680000569082e-02,-8.044514492999999788e+01
5.011872339999999815e-01,4.399999999904480319e-06,1.114061550001110845e-02,-8.024512909999999977e+01
5.128613840000000312e-01,4.660000000100694706e-06,1.139960199998313328e-02,-8.004511424000000375e+01
5.248074600000000034e-01,4.930000000236134383e-06,1.166498300000284871e-02,-7.984510036000000355e+01
5.370317959999999502e-01,5.229999999745160721e-06,1.193737200000555276e-02,-7.964508727999999849e+01
5.495408739999999570e-01,5.519999999759050979e-06,1.221548300000563358e-02,-7.944507503999999187e+01
5.623413250000000030e-01,5.840000000034706318e-06,1.250013599999988401e-02,-7.924506369000000916e+01
5.754399369999999569e-01,6.170000000249586947e-06,1.279126300002531025e-02,-7.904505312999999944e+01
5.888436550000000214e-01,6.519999999898828946e-06,1.308891300001846503e-02,-7.884504335000001163e+01
6.025595860000000359e-01,6.890000000314699946e-06,1.339325999998663974e-02,-7.864503431999999350e+01
6.165950019999999476e-01,7.269999999781617817e-06,1.370560699999145982e-02,-7.844502595000000156e+01
