vd_source_v,vout_diff_v
-9.000000000000000222e-01,1.184369379999999916e+00
-8.850000000000000089e-01,1.184341880000000069e+00
-8.699999999999999956e-01,1.184307730000000003e+00
-8.549999999999999822e-01,1.184264809999999946e+00
-8.399999999999999689e-01,1.184210329999999978e+00
-8.249999999999999556e-01,1.184140619999999977e+00
-8.100000000000000533e-01,1.184050849999999988e+00
-7.950000000000000400e-01,1.183934650000000088e+00
-7.800000000000000266e-01,1.183783690000000055e+00
-7.650000000000000133e-01,1.183587020000000045e+00
-7.500000000000000000e-01,1.183330290000000007e+00
-7.349999999999999867e-01,1.182994789999999963e+00
-7.199999999999999734e-01,1.182556109999999938e+00
-7.049999999999999600e-01,1.181982630000000034e+00
-6.899999999999999467e-01,1.181233559999999905e+00
-6.750000000000000444e-01,1.180256659999999957e+00
-6.600000000000000311e-01,1.178985680000000036e+00
-6.450000000000000178e-01,1.177337550000000066e+00
-6.300000000000000044e-01,1.175209830000000011e+00
-6.149999999999999911e-01,1.172478670000000056e+00
-5.999999999999999778e-01,1.168998079999999939e+00
-5.849999999999999645e-01,1.164601489999999906e+00
-5.699999999999999512e-01,1.159106160000000108e+00
-5.550000000000000488e-01,1.152321670000000076e+00
-5.400000000000000355e-01,1.144060819999999978e+00
-5.250000000000000222e-01,1.134153699999999931e+00
-5.100000000000000089e-01,1.122460390000000086e+00
-4.949999999999999956e-01,1.108881439999999996e+00
-4.799999999999999822e-01,1.093362930000000066e+00
-4.650000000000000244e-01,1.075897710000000007e+00
-4.500000000000000111e-01,1.056512590000000085e+00
-4.349999999999999978e-01,1.035265780000000024e+00
-4.199999999999999845e-01,1.012235439999999986e+00
-4.050000000000000266e-01,9.875272349999999477e-01
-3.900000000000000133e-01,9.612161430000000228e-01
-3.750000000000000000e-01,9.334006160000000163e-01
-3.599999999999999867e-01,9.041744480000000195e-01
-3.449999999999999734e-01,8.736392530000000045e-01
-3.300000000000000155e-01,8.419094280000000152e-01
-3.150000000000000022e-01,8.091081509999999977e-01
-2.999999999999999889e-01,7.753550550000000152e-01
-2.849999999999999756e-01,7.407560539999999971e-01
-2.700000000000000178e-01,7.054012050000000311e-01
-2.550000000000000044e-01,6.693674040000000547e-01
-2.399999999999999911e-01,6.327217109999999645e-01
-2.250000000000000056e-01,5.955237989999999648e-01
-2.099999999999999922e-01,5.578275579999999456e-01
-1.950000000000000067e-01,5.196821520000000083e-01
-1.799999999999999933e-01,4.810830329999999933e-01
-1.650000000000000078e-01,4.421734560000000203e-01
-1.499999999999999944e-01,4.029411019999999954e-01
-1.350000000000000089e-01,3.634222919999999801e-01
-1.199999999999999956e-01,3.236511739999999859e-01
-1.049999999999999961e-01,2.836600349999999771e-01
-8.999999999999999667e-02,2.434795790000000015e-01
-7.499999999999999722e-02,2.030674949999999868e-01
-5.999999999999999778e-02,1.626089149999999928e-01
-4.499999999999999833e-02,1.220465770000000033e-01
-2.999999999999999889e-02,8.132573310000000555e-02
-1.499999999999999944e-02,4.067545530000000326e-02
6.522560270000000373e-16,1.287858709999999982e-14
1.499999999999999944e-02,-4.067545530000000326e-02
2.999999999999999889e-02,-8.132573310000000555e-02
4.499999999999999833e-02,-1.220465770000000033e-01
5.999999999999999778e-02,-1.626089149999999928e-01
7.499999999999999722e-02,-2.030674949999999868e-01
8.999999999999999667e-02,-2.434795790000000015e-01
1.049999999999999961e-01,-2.836600349999999771e-01
1.199999999999999956e-01,-3.236511739999999859e-01
1.350000000000000089e-01,-3.634222919999999801e-01
1.499999999999999944e-01,-4.029411019999999954e-01
1.650000000000000078e-01,-4.421734560000000203e-01
1.799999999999999933e-01,-4.810830329999999933e-01
1.950000000000000067e-01,-5.196821520000000083e-01
2.099999999999999922e-01,-5.578275579999999456e-01
2.250000000000000056e-01,-5.955237989999999648e-01
2.399999999999999911e-01,-6.327217109999999645e-01
2.550000000000000044e-01,-6.693674040000000547e-01
2.700000000000000178e-01,-7.054012050000000311e-01
2.849999999999999756e-01,-7.407560539999999971e-01
2.999999999999999889e-01,-7.753550550000000152e-01
3.150000000000000022e-01,-8.091081509999999977e-01
3.300000000000000155e-01,-8.419094280000000152e-01
3.449999999999999734e-01,-8.736392530000000045e-01
3.599999999999999867e-01,-9.041744480000000195e-01
3.750000000000000000e-01,-9.334006160000000163e-01
3.900000000000000133e-01,-9.612161430000000228e-01
4.050000000000000266e-01,-9.875272349999999477e-01
4.199999999999999845e-01,-1.012235439999999986e+00
4.349999999999999978e-01,-1.035265780000000024e+00
4.500000000000000111e-01,-1.056512590000000085e+00
4.650000000000000244e-01,-1.075897710000000007e+00
4.799999999999999822e-01,-1.093362930000000066e+00
4.949999999999999956e-01,-1.108881439999999996e+00
5.100000000000000089e-01,-1.122460390000000086e+00
5.250000000000000222e-01,-1.134153699999999931e+00
5.400000000000000355e-01,-1.144060819999999978e+00
5.550000000000000488e-01,-1.152321670000000076e+00
5.699999999999999512e-01,-1.159106160000000108e+00
5.849999999999999645e-01,-1.164601489999999906e+00
5.999999999999999778e-01,-1.168998079999999939e+00
6.149999999999999911e-01,-1.172478670000000056e+00
6.300000000000000044e-01,-1.175209830000000011e+00
6.450000000000000178e-01,-1.177337550000000066e+00
6.600000000000000311e-01,-1.178985680000000036e+00
6.750000000000000444e-01,-1.180256659999999957e+00
6.899999999999999467e-01,-1.181233559999999905e+00
7.049999999999999600e-01,-1.181982630000000034e+00
7.199999999999999734e-01,-1.182556109999999938e+00
7.349999999999999867e-01,-1.182994789999999963e+00
7.500000000000000000e-01,-1.183330290000000007e+00
7.650000000000000133e-01,-1.183587020000000045e+00
7.800000000000000266e-01,-1.183783690000000055e+00
7.950000000000000400e-01,-1.183934650000000088e+00
8.100000000000000533e-01,-1.184050849999999988e+00
8.249999999999999556e-01,-1.184140619999999977e+00
8.399999999999999689e-01,-1.184210329999999978e+00
8.549999999999999822e-01,-1.184264809999999946e+00
8.699999999999999956e-01,-1.184307730000000003e+00
8.850000000000000089e-01,-1.184341880000000069e+00
9.000000000000000222e-01,-1.184369379999999916e+00
