vd_source_v,vout_diff_v
-9.000000000000000222e-01,1.105138310000000068e+00
-8.850000000000000089e-01,1.105105540000000053e+00
-8.699999999999999956e-01,1.105064360000000079e+00
-8.549999999999999822e-01,1.105012190000000061e+00
-8.399999999999999689e-01,1.104945669999999991e+00
-8.249999999999999556e-01,1.104860390000000026e+00
-8.100000000000000533e-01,1.104750619999999905e+00
-7.950000000000000400e-01,1.104608880000000015e+00
-7.800000000000000266e-01,1.104425470000000020e+00
-7.650000000000000133e-01,1.104187760000000074e+00
-7.500000000000000000e-01,1.103879379999999966e+00
-7.349999999999999867e-01,1.103479220000000094e+00
-7.199999999999999734e-01,1.102960069999999959e+00
-7.049999999999999600e-01,1.102287100000000075e+00
-6.899999999999999467e-01,1.101415999999999951e+00
-6.750000000000000444e-01,1.100290889999999910e+00
-6.600000000000000311e-01,1.098842019999999975e+00
-6.450000000000000178e-01,1.096983569999999908e+00
-6.300000000000000044e-01,1.094611919999999960e+00
-6.149999999999999911e-01,1.091604680000000105e+00
-5.999999999999999778e-01,1.087821190000000104e+00
-5.849999999999999645e-01,1.083105680000000071e+00
-5.699999999999999512e-01,1.077292899999999998e+00
-5.550000000000000488e-01,1.070216840000000058e+00
-5.400000000000000355e-01,1.061721050000000055e+00
-5.250000000000000222e-01,1.051669970000000065e+00
-5.100000000000000089e-01,1.039959480000000047e+00
-4.949999999999999956e-01,1.026520909999999898e+00
-4.799999999999999822e-01,1.011328180000000021e+00
-4.650000000000000244e-01,9.943938469999999974e-01
-4.500000000000000111e-01,9.757345670000000526e-01
-4.349999999999999978e-01,9.554404029999999937e-01
-4.199999999999999845e-01,9.335700460000000422e-01
-4.050000000000000266e-01,9.102083269999999837e-01
-3.900000000000000133e-01,8.854392119999999755e-01
-3.750000000000000000e-01,8.593483389999999611e-01
-3.599999999999999867e-01,8.320258849999999651e-01
-3.449999999999999734e-01,8.035702609999999524e-01
-3.300000000000000155e-01,7.740875799999999973e-01
-3.150000000000000022e-01,7.436846820000000413e-01
-2.999999999999999889e-01,7.124604949999999715e-01
-2.849999999999999756e-01,6.805016809999999694e-01
-2.700000000000000178e-01,6.478829950000000171e-01
-2.550000000000000044e-01,6.146695110000000017e-01
-2.399999999999999911e-01,5.809188050000000381e-01
-2.250000000000000056e-01,5.466825579999999851e-01
-2.099999999999999922e-01,5.120076679999999714e-01
-1.950000000000000067e-01,4.769370470000000028e-01
-1.799999999999999933e-01,4.415102129999999847e-01
-1.650000000000000078e-01,4.057083539999999933e-01
-1.499999999999999944e-01,3.696795669999999867e-01
-1.350000000000000089e-01,3.333977089999999865e-01
-1.199999999999999956e-01,2.968927989999999850e-01
-1.049999999999999961e-01,2.601932579999999828e-01
-8.999999999999999667e-02,2.233261510000000005e-01
-7.499999999999999722e-02,1.863173999999999941e-01
-5.999999999999999778e-02,1.491270990000000130e-01
-4.499999999999999833e-02,1.119249850000000046e-01
-2.999999999999999889e-02,7.456541560000000401e-02
-1.499999999999999944e-02,3.729385760000000077e-02
6.522560270000000373e-16,2.611244549999999889e-12
1.499999999999999944e-02,-3.729385760000000077e-02
2.999999999999999889e-02,-7.456541560000000401e-02
4.499999999999999833e-02,-1.119249850000000046e-01
5.999999999999999778e-02,-1.491270990000000130e-01
7.499999999999999722e-02,-1.863173999999999941e-01
8.999999999999999667e-02,-2.233261510000000005e-01
1.049999999999999961e-01,-2.601932579999999828e-01
1.199999999999999956e-01,-2.968927989999999850e-01
1.350000000000000089e-01,-3.333977089999999865e-01
1.499999999999999944e-01,-3.696795669999999867e-01
1.650000000000000078e-01,-4.057083539999999933e-01
1.799999999999999933e-01,-4.415102129999999847e-01
1.950000000000000067e-01,-4.769370470000000028e-01
2.099999999999999922e-01,-5.120076679999999714e-01
2.250000000000000056e-01,-5.466825579999999851e-01
2.399999999999999911e-01,-5.809188050000000381e-01
2.550000000000000044e-01,-6.146695110000000017e-01
2.700000000000000178e-01,-6.478829950000000171e-01
2.849999999999999756e-01,-6.805016809999999694e-01
2.999999999999999889e-01,-7.124604949999999715e-01
3.150000000000000022e-01,-7.436846820000000413e-01
3.300000000000000155e-01,-7.740875799999999973e-01
3.449999999999999734e-01,-8.035702609999999524e-01
3.599999999999999867e-01,-8.320258849999999651e-01
3.750000000000000000e-01,-8.593483389999999611e-01
3.900000000000000133e-01,-8.854392119999999755e-01
4.050000000000000266e-01,-9.102083269999999837e-01
4.199999999999999845e-01,-9.335700460000000422e-01
4.349999999999999978e-01,-9.554404029999999937e-01
4.500000000000000111e-01,-9.757345670000000526e-01
4.650000000000000244e-01,-9.943938469999999974e-01
4.799999999999999822e-01,-1.011328180000000021e+00
4.949999999999999956e-01,-1.026520909999999898e+00
5.100000000000000089e-01,-1.039959480000000047e+00
5.250000000000000222e-01,-1.051669970000000065e+00
5.400000000000000355e-01,-1.061721050000000055e+00
5.550000000000000488e-01,-1.070216840000000058e+00
5.699999999999999512e-01,-1.077292899999999998e+00
5.849999999999999645e-01,-1.083105680000000071e+00
5.999999999999999778e-01,-1.087821190000000104e+00
6.149999999999999911e-01,-1.091604680000000105e+00
6.300000000000000044e-01,-1.094611919999999960e+00
6.450000000000000178e-01,-1.096983569999999908e+00
6.600000000000000311e-01,-1.098842019999999975e+00
6.750000000000000444e-01,-1.100290889999999910e+00
6.899999999999999467e-01,-1.101415999999999951e+00
7.049999999999999600e-01,-1.102287100000000075e+00
7.199999999999999734e-01,-1.102960069999999959e+00
7.349999999999999867e-01,-1.103479220000000094e+00
7.500000000000000000e-01,-1.103879379999999966e+00
7.650000000000000133e-01,-1.104187760000000074e+00
7.800000000000000266e-01,-1.104425470000000020e+00
7.950000000000000400e-01,-1.104608880000000015e+00
8.100000000000000533e-01,-1.104750619999999905e+00
8.249999999999999556e-01,-1.104860390000000026e+00
8.399999999999999689e-01,-1.104945669999999991e+00
8.549999999999999822e-01,-1.105012190000000061e+00
8.699999999999999956e-01,-1.105064360000000079e+00
8.850000000000000089e-01,-1.105105540000000053e+00
9.000000000000000222e-01,-1.105138310000000068e+00
