metric,a,b,c,d,e
area_um2,,7374.224000000001,7551.672,6880.257600000001,7055.286
bw,66.58935104258315,51.57724307153131,58.795025028155415,61.05083250474958,61.09611618948972
bw_lsb,92.73660096116492,67.62038558905775,78.89940782772524,82.37918192339683,82.54837135319504
bw_msb,66.58935104258315,51.57724307153131,58.795025028155415,61.05083250474958,61.09611618948972
c_outn_gnd_ff,,15.547423700000001,17.77691194,14.999058000000002,14.073910000000001
c_outp_gnd_ff,,14.7867737,16.35253394,11.845314100000003,11.3973808
cm_leak_dbc,-291.44839208999997,-52.8093722212906,-46.52480375830394,-39.453753417596275,-40.933805723778335
cm_leak_dbc_lsb,,-50.959844328483264,-45.77840053091382,-39.16835489910107,-40.45383945535694
drc_pass,,1.0,1.0,1.0,1.0
eye_min_v,0.254065731,0.2435141158,0.22952563450000002,0.2299348795,0.2325729344
eye_rlm,0.9950782162089395,0.9904919331865216,0.9947473643074896,0.9948791945799104,0.9944726614464464
eye_vpp,0.87450685,0.860080979,0.7974673109999999,0.793453596,0.794374208
height_um,,62.92,75.82,70.48,69.2
ic_ma_per_finger,2.6666666666666665,2.6666666666666665,2.5,2.655,2.58295
lsb_gain,3.09031359,2.94807457,2.27322126,2.23225342,2.26943826
lvs_match,,1.0,1.0,1.0,1.0
msb_gain,9.06041338,8.91855433,8.24896605,8.20454565,8.2442787
n_parasitics,,135.0,131.0,126.0,127.0
pex_n_c,,135,131,126,127
pex_n_r,,0,0,0,0
pn_gain_imb_db,0.0,0.016722285000000003,0.028479507000000015,0.05270322599999999,0.046990598999999994
pn_gain_imb_db_lsb,,0.013604570000000038,0.027149099999999926,0.05127452999999971,0.04345475000000043
pn_phase_imb_deg,4.999999987376214e-07,0.23709930000001123,0.505449800000008,1.1663460999999984,0.9784568000000036
pn_phase_imb_deg_lsb,,0.31088599999998223,0.5596815000000106,1.211361299999993,1.0461296000000004
power,191.02721522170543,191.02732721240312,179.1230747472868,190.19263383255813,185.0472541612403
s11,-10.873713058911163,-8.89712899381931,-9.941061684360148,-10.046217719806679,-10.033637848214495
s11_edge_ghz,36.142831498500996,27.424173146617104,31.73661561930895,32.204684233906036,32.148349560232546
s11_edge_lsb,78.42908717666079,,,,
s11_edge_msb,36.142831498500996,,,,
s11_lsb,-16.433948937017735,-13.780270828859415,-15.505179542642527,-15.085217871950901,-15.117818351786783
s11_msb,-10.873713058911163,-8.89712899381931,-9.941061684360148,-10.046217719806679,-10.033637848214495
s22,-14.751502713692664,-7.965168663836293,-9.241013312054475,-10.720097993343712,-10.714642481695108
s22_edge_ghz,88.72742435470984,38.49006574689413,45.47298766371487,54.72876851520201,54.64165963371495
swing,2.36873876,2.35613938,2.21027662,2.25763576,2.2369145
tier,"(a) schematic, nominal sizing","(b) first-pass layout (v1 floorplan, nominal sizing)",(c) layout of record v2 (block-local optimizer + RF review),"(d) co-design round 2, v3 (Alg. 1 through SpiceXplorer)",(e) co-design round 3 accepted point v4 (p/n balance objective)
weight,5.97009979,5.970479759999999,5.97574479,5.97229223,5.974840440000001
width_um,,117.20000000000002,99.60000000000001,97.62,101.955
