f_ghz,s21_msb_db,s21_lsb_db,s11_msb_db,s11_lsb_db,s22_db
1.000000000000000056e-01,8.887896780000000163e+00,2.915472160000000201e+00,-3.899314449999999965e+01,-4.496624489999999952e+01,-7.337269530000000373e+01
1.023292989999999986e-01,8.894978650000000542e+00,2.922628430000000055e+00,-3.897937879999999922e+01,-4.495237060000000184e+01,-7.297458090000000652e+01
1.047128549999999936e-01,8.901806360000000140e+00,2.929528019999999788e+00,-3.896600219999999837e+01,-4.493888859999999852e+01,-7.256078879999999742e+01
1.071519310000000058e-01,8.908386500000000652e+00,2.936177569999999903e+00,-3.895299870000000197e+01,-4.492578280000000035e+01,-7.213935739999999441e+01
1.096478199999999931e-01,8.914725689999999148e+00,2.942583760000000215e+00,-3.894035209999999836e+01,-4.491303690000000159e+01,-7.171629570000000342e+01
1.122018449999999945e-01,8.920830569999999682e+00,2.948753289999999971e+00,-3.892804619999999716e+01,-4.490063479999999885e+01,-7.129593579999999520e+01
1.148153620000000041e-01,8.926707770000000153e+00,2.954692860000000199e+00,-3.891606469999999973e+01,-4.488856020000000058e+01,-7.088128559999999823e+01
1.174897550000000013e-01,8.932363900000000356e+00,2.960409120000000005e+00,-3.890439130000000034e+01,-4.487679659999999870e+01,-7.047434300000000462e+01
1.202264430000000023e-01,8.937805550000000210e+00,2.965908730000000215e+00,-3.889300970000000035e+01,-4.486532780000000287e+01,-7.007635299999999745e+01
1.230268770000000067e-01,8.943039230000000117e+00,2.971198259999999980e+00,-3.888190370000000229e+01,-4.485413729999999788e+01,-6.968801080000000070e+01
1.258925409999999967e-01,8.948071399999999898e+00,2.976284230000000086e+00,-3.887105679999999808e+01,-4.484320879999999931e+01,-6.930961820000000273e+01
1.288249549999999910e-01,8.952908450000000684e+00,2.981173089999999970e+00,-3.886045279999999735e+01,-4.483252600000000143e+01,-6.894119929999999385e+01
1.318256740000000038e-01,8.957556659999999837e+00,2.985871169999999797e+00,-3.885007540000000148e+01,-4.482207249999999732e+01,-6.858258750000000248e+01
1.348962880000000031e-01,8.962022219999999706e+00,2.990384750000000036e+00,-3.883990849999999995e+01,-4.481183200000000255e+01,-6.823348819999999648e+01
1.380384259999999919e-01,8.966311239999999572e+00,2.994719959999999848e+00,-3.882993570000000005e+01,-4.480178829999999834e+01,-6.789352499999999679e+01
1.412537540000000091e-01,8.970429680000000516e+00,2.998882850000000211e+00,-3.882014089999999840e+01,-4.479192510000000027e+01,-6.756227239999999767e+01
1.445439769999999902e-01,8.974383409999999728e+00,3.002879319999999908e+00,-3.881050799999999867e+01,-4.478222610000000259e+01,-6.723927919999999858e+01
1.479108389999999884e-01,8.978178149999999746e+00,3.006715170000000104e+00,-3.880102070000000225e+01,-4.477267520000000189e+01,-6.692408530000000155e+01
1.513561250000000080e-01,8.981819509999999340e+00,3.010396060000000151e+00,-3.879166299999999978e+01,-4.476325620000000072e+01,-6.661623269999999764e+01
1.548816620000000033e-01,8.985312970000000732e+00,3.013927520000000193e+00,-3.878241880000000208e+01,-4.475395280000000042e+01,-6.631527389999999400e+01
1.584893189999999896e-01,8.988663860000000838e+00,3.017314939999999890e+00,-3.877327180000000340e+01,-4.474474889999999760e+01,-6.602077660000000492e+01
1.621810099999999866e-01,8.991877380000000031e+00,3.020563570000000198e+00,-3.876420590000000033e+01,-4.473562820000000073e+01,-6.573232699999999795e+01
1.659586909999999915e-01,8.994958589999999532e+00,3.023678519999999814e+00,-3.875520509999999774e+01,-4.472657449999999812e+01,-6.544953209999999899e+01
1.698243650000000049e-01,8.997912429999999517e+00,3.026664789999999883e+00,-3.874625290000000177e+01,-4.471757149999999825e+01,-6.517201989999999512e+01
1.737800830000000019e-01,9.000743670000000307e+00,3.029527180000000097e+00,-3.873733330000000308e+01,-4.470860290000000248e+01,-6.489944040000000314e+01
1.778279409999999894e-01,9.003456950000000347e+00,3.032270399999999810e+00,-3.872842980000000068e+01,-4.469965220000000272e+01,-6.463146460000000104e+01
1.819700860000000031e-01,9.006056790000000589e+00,3.034899010000000175e+00,-3.871952590000000072e+01,-4.469070299999999918e+01,-6.436778459999999313e+01
1.862087139999999974e-01,9.008547540000000353e+00,3.037417399999999823e+00,-3.871060529999999744e+01,-4.468173869999999681e+01,-6.410811230000000194e+01
1.905460720000000108e-01,9.010933429999999689e+00,3.039829860000000217e+00,-3.870165120000000059e+01,-4.467274249999999824e+01,-6.385217870000000318e+01
1.949844599999999983e-01,9.013218569999999374e+00,3.042140509999999853e+00,-3.869264679999999856e+01,-4.466369759999999900e+01,-6.359973310000000168e+01
1.995262309999999983e-01,9.015406889999999507e+00,3.044353370000000059e+00,-3.868357519999999994e+01,-4.465458699999999936e+01,-6.335054170000000084e+01
2.041737939999999918e-01,9.017502240000000668e+00,3.046472300000000022e+00,-3.867441920000000266e+01,-4.464539359999999846e+01,-6.310438669999999917e+01
2.089296129999999863e-01,9.019508319999999912e+00,3.048501050000000046e+00,-3.866516159999999758e+01,-4.463609979999999666e+01,-6.286106560000000343e+01
2.137962089999999871e-01,9.021428679999999645e+00,3.050443210000000072e+00,-3.865578469999999811e+01,-4.462668819999999670e+01,-6.262038960000000287e+01
2.187761619999999962e-01,9.023266780000000153e+00,3.052302270000000206e+00,-3.864627080000000348e+01,-4.461714080000000138e+01,-6.238218340000000239e+01
2.238721140000000109e-01,9.025025940000000801e+00,3.054081590000000013e+00,-3.863660190000000227e+01,-4.460743959999999930e+01,-6.214628390000000024e+01
2.290867649999999978e-01,9.026709370000000732e+00,3.055784420000000168e+00,-3.862675959999999975e+01,-4.459756620000000282e+01,-6.191253909999999649e+01
2.344228819999999991e-01,9.028320150000000766e+00,3.057413879999999917e+00,-3.861672529999999881e+01,-4.458750189999999947e+01,-6.168080789999999780e+01
2.398832919999999980e-01,9.029861249999999728e+00,3.058972970000000124e+00,-3.860647989999999652e+01,-4.457722770000000168e+01,-6.145095890000000338e+01
2.454708919999999961e-01,9.031335549999999657e+00,3.060464590000000040e+00,-3.859600429999999704e+01,-4.456672410000000184e+01,-6.122287010000000151e+01
2.511886429999999892e-01,9.032745800000000713e+00,3.061891530000000028e+00,-3.858527860000000231e+01,-4.455597149999999829e+01,-6.099642759999999697e+01
2.570395779999999908e-01,9.034094650000000115e+00,3.063256480000000170e+00,-3.857428279999999887e+01,-4.454494969999999654e+01,-6.077152569999999798e+01
2.630267989999999778e-01,9.035384640000000189e+00,3.064562009999999947e+00,-3.856299630000000178e+01,-4.453363819999999862e+01,-6.054806599999999861e+01
2.691534800000000005e-01,9.036618239999999247e+00,3.065810599999999830e+00,-3.855139820000000128e+01,-4.452201579999999836e+01,-6.032595680000000016e+01
2.754228699999999863e-01,9.037797810000000709e+00,3.067004639999999949e+00,-3.853946710000000309e+01,-4.451006129999999672e+01,-6.010511280000000056e+01
2.818382930000000175e-01,9.038925589999999843e+00,3.068146430000000091e+00,-3.852718099999999879e+01,-4.449775249999999716e+01,-5.988545440000000042e+01
2.884031499999999970e-01,9.040003770000000216e+00,3.069238159999999827e+00,-3.851451749999999663e+01,-4.448506700000000080e+01,-5.966690750000000065e+01
2.951209229999999795e-01,9.041034440000000671e+00,3.070281950000000037e+00,-3.850145369999999900e+01,-4.447198180000000178e+01,-5.944940330000000017e+01
3.019951719999999784e-01,9.042019599999999713e+00,3.071279819999999994e+00,-3.848796589999999895e+01,-4.445847340000000258e+01,-5.923287719999999723e+01
3.090295430000000176e-01,9.042961180000000709e+00,3.072233730000000218e+00,-3.847403020000000140e+01,-4.444451759999999751e+01,-5.901726940000000354e+01
3.162277660000000212e-01,9.043861010000000533e+00,3.073145550000000004e+00,-3.845962180000000075e+01,-4.443008960000000229e+01,-5.880252380000000301e+01
3.235936569999999790e-01,9.044720879999999852e+00,3.074017060000000079e+00,-3.844471539999999976e+01,-4.441516419999999954e+01,-5.858858810000000261e+01
3.311311209999999727e-01,9.045542460000000062e+00,3.074849990000000144e+00,-3.842928510000000131e+01,-4.439971539999999806e+01,-5.837541370000000285e+01
3.388441560000000075e-01,9.046327409999999958e+00,3.075645989999999941e+00,-3.841330430000000007e+01,-4.438371649999999846e+01,-5.816295490000000257e+01
3.467368499999999854e-01,9.047077260000000010e+00,3.076406640000000081e+00,-3.839674579999999793e+01,-4.436714030000000264e+01,-5.795116929999999655e+01
3.548133889999999790e-01,9.047793520000000811e+00,3.077133439999999887e+00,-3.837958160000000163e+01,-4.434995889999999719e+01,-5.774001710000000287e+01
3.630780550000000106e-01,9.048477610000000837e+00,3.077827870000000132e+00,-3.836178309999999669e+01,-4.433214350000000081e+01,-5.752946109999999891e+01
3.715352290000000224e-01,9.049130910000000583e+00,3.078491300000000042e+00,-3.834332100000000310e+01,-4.431366479999999797e+01,-5.731946659999999838e+01
3.801893960000000128e-01,9.049754719999999253e+00,3.079125069999999909e+00,-3.832416529999999710e+01,-4.429449280000000044e+01,-5.711000090000000284e+01
3.890451449999999811e-01,9.050350310000000675e+00,3.079730450000000008e+00,-3.830428520000000248e+01,-4.427459660000000241e+01,-5.690103380000000044e+01
3.981071709999999819e-01,9.050918870000000283e+00,3.080308669999999971e+00,-3.828364930000000044e+01,-4.425394490000000047e+01,-5.669253659999999684e+01
4.073802779999999846e-01,9.051461559999999906e+00,3.080860889999999852e+00,-3.826222539999999839e+01,-4.423250540000000086e+01,-5.648448270000000093e+01
4.168693829999999823e-01,9.051979469999999139e+00,3.081388239999999890e+00,-3.823998060000000265e+01,-4.421024520000000280e+01,-5.627684699999999651e+01
4.265795190000000181e-01,9.052473660000000422e+00,3.081891779999999859e+00,-3.821688120000000310e+01,-4.418713050000000209e+01,-5.606960620000000262e+01
4.365158319999999925e-01,9.052945129999999452e+00,3.082372550000000100e+00,-3.819289299999999798e+01,-4.416312709999999697e+01,-5.586273810000000140e+01
4.466835920000000182e-01,9.053394839999999277e+00,3.082831510000000108e+00,-3.816798080000000226e+01,-4.413819989999999649e+01,-5.565622210000000081e+01
