f_ghz,s21_msb_db,s21_lsb_db,s11_msb_db,s11_lsb_db,s22_db
1.000000000000000056e-01,8.746549059999999542e+00,2.773612979999999784e+00,-3.341191680000000019e+01,-3.597358729999999838e+01,-4.537366320000000286e+01
1.023292989999999986e-01,8.753629710000000230e+00,2.780767309999999881e+00,-3.340450049999999749e+01,-3.596857260000000167e+01,-4.536132769999999681e+01
1.047128549999999936e-01,8.760456230000000843e+00,2.787665029999999877e+00,-3.339729350000000352e+01,-3.596370550000000321e+01,-4.534876549999999895e+01
1.071519310000000058e-01,8.767035220000000351e+00,2.794312769999999890e+00,-3.339028840000000287e+01,-3.595898129999999782e+01,-4.533598940000000255e+01
1.096478199999999931e-01,8.773373290000000324e+00,2.800717220000000118e+00,-3.338347720000000152e+01,-3.595439509999999927e+01,-4.532300949999999773e+01
1.122018449999999945e-01,8.779477070000000438e+00,2.806885049999999993e+00,-3.337685199999999952e+01,-3.594994200000000006e+01,-4.530983340000000226e+01
1.148153620000000041e-01,8.785353199999999418e+00,2.812822979999999973e+00,-3.337040509999999927e+01,-3.594561689999999743e+01,-4.529646600000000234e+01
1.174897550000000013e-01,8.791008290000000613e+00,2.818537660000000056e+00,-3.336412829999999730e+01,-3.594141489999999806e+01,-4.528290979999999877e+01
1.202264430000000023e-01,8.796448910000000510e+00,2.824035719999999916e+00,-3.335801370000000077e+01,-3.593733089999999919e+01,-4.526916520000000332e+01
1.230268770000000067e-01,8.801681580000000338e+00,2.829323759999999854e+00,-3.335205309999999912e+01,-3.593335979999999807e+01,-4.525523019999999974e+01
1.258925409999999967e-01,8.806712759999999918e+00,2.834408279999999891e+00,-3.334623830000000311e+01,-3.592949629999999672e+01,-4.524110100000000045e+01
1.288249549999999910e-01,8.811548829999999555e+00,2.839295729999999907e+00,-3.334056129999999740e+01,-3.592573550000000182e+01,-4.522677159999999930e+01
1.318256740000000038e-01,8.816196070000000162e+00,2.843992440000000066e+00,-3.333501389999999986e+01,-3.592207220000000234e+01,-4.521223429999999865e+01
1.348962880000000031e-01,8.820660690000000415e+00,2.848504680000000011e+00,-3.332958789999999993e+01,-3.591850110000000029e+01,-4.519747950000000003e+01
1.380384259999999919e-01,8.824948750000000786e+00,2.852838590000000174e+00,-3.332427500000000009e+01,-3.591501710000000003e+01,-4.518249600000000044e+01
1.412537540000000091e-01,8.829066250000000338e+00,2.857000189999999940e+00,-3.331906719999999922e+01,-3.591161509999999879e+01,-4.516727099999999950e+01
1.445439769999999902e-01,8.833019030000000882e+00,2.860995420000000067e+00,-3.331395609999999863e+01,-3.590828989999999976e+01,-4.515179020000000065e+01
1.479108389999999884e-01,8.836812829999999508e+00,2.864830050000000128e+00,-3.330893360000000314e+01,-3.590503640000000019e+01,-4.513603779999999688e+01
1.513561250000000080e-01,8.840453249999999485e+00,2.868509739999999919e+00,-3.330399140000000102e+01,-3.590184940000000324e+01,-4.511999660000000034e+01
1.548816620000000033e-01,8.843945760000000433e+00,2.872040010000000088e+00,-3.329912130000000303e+01,-3.589872379999999907e+01,-4.510364799999999974e+01
1.584893189999999896e-01,8.847295689999999269e+00,2.875426270000000173e+00,-3.329431499999999744e+01,-3.589565439999999796e+01,-4.508697240000000050e+01
1.621810099999999866e-01,8.850508259999999794e+00,2.878673749999999920e+00,-3.328956440000000327e+01,-3.589263609999999716e+01,-4.506994859999999647e+01
1.659586909999999915e-01,8.853588500000000749e+00,2.881787580000000126e+00,-3.328486099999999936e+01,-3.588966390000000217e+01,-4.505255439999999822e+01
1.698243650000000049e-01,8.856541359999999585e+00,2.884772710000000018e+00,-3.328019650000000240e+01,-3.588673250000000081e+01,-4.503476659999999754e+01
1.737800830000000019e-01,8.859371599999999347e+00,2.887633999999999812e+00,-3.327556270000000183e+01,-3.588383689999999859e+01,-4.501656049999999709e+01
1.778279409999999894e-01,8.862083869999999308e+00,2.890376110000000054e+00,-3.327095109999999778e+01,-3.588097189999999870e+01,-4.499791079999999965e+01
1.819700860000000031e-01,8.864682670000000542e+00,2.893003610000000059e+00,-3.326635329999999868e+01,-3.587813229999999720e+01,-4.497879069999999757e+01
1.862087139999999974e-01,8.867172370000000470e+00,2.895520900000000175e+00,-3.326176079999999757e+01,-3.587531309999999962e+01,-4.495917279999999749e+01
1.905460720000000108e-01,8.869557190000000091e+00,2.897932260000000149e+00,-3.325716500000000053e+01,-3.587250889999999970e+01,-4.493902839999999799e+01
1.949844599999999983e-01,8.871841220000000305e+00,2.900241809999999809e+00,-3.325255729999999943e+01,-3.586971470000000295e+01,-4.491832809999999654e+01
1.995262309999999983e-01,8.874028409999999312e+00,2.902453560000000099e+00,-3.324792899999999918e+01,-3.586692519999999718e+01,-4.489704119999999676e+01
2.041737939999999918e-01,8.876122600000000418e+00,2.904571380000000147e+00,-3.324327110000000118e+01,-3.586413509999999860e+01,-4.487513650000000354e+01
2.089296129999999863e-01,8.878127479999999849e+00,2.906598999999999933e+00,-3.323857490000000325e+01,-3.586133900000000096e+01,-4.485258160000000061e+01
2.137962089999999871e-01,8.880046610000000840e+00,2.908540019999999782e+00,-3.323383119999999735e+01,-3.585853159999999917e+01,-4.482934350000000023e+01
2.187761619999999962e-01,8.881883450000000124e+00,2.910397929999999800e+00,-3.322903079999999676e+01,-3.585570760000000234e+01,-4.480538800000000066e+01
2.238721140000000109e-01,8.883641300000000740e+00,2.912176089999999995e+00,-3.322416450000000054e+01,-3.585286130000000071e+01,-4.478068030000000022e+01
2.290867649999999978e-01,8.885323370000000054e+00,2.913877729999999833e+00,-3.321922270000000310e+01,-3.584998720000000105e+01,-4.475518480000000210e+01
2.344228819999999991e-01,8.886932749999999714e+00,2.915505979999999830e+00,-3.321419579999999883e+01,-3.584707970000000188e+01,-4.472886510000000015e+01
2.398832919999999980e-01,8.888472410000000323e+00,2.917063839999999963e+00,-3.320907379999999876e+01,-3.584413289999999819e+01,-4.470168400000000020e+01
2.454708919999999961e-01,8.889945210000000486e+00,2.918554199999999987e+00,-3.320384690000000205e+01,-3.584114120000000270e+01,-4.467360349999999869e+01
2.511886429999999892e-01,8.891353900000000365e+00,2.919979860000000205e+00,-3.319850459999999970e+01,-3.583809850000000097e+01,-4.464458520000000163e+01
2.570395779999999908e-01,8.892701130000000731e+00,2.921343479999999992e+00,-3.319303649999999806e+01,-3.583499869999999987e+01,-4.461458960000000218e+01
2.630267989999999778e-01,8.893989440000000357e+00,2.922647659999999981e+00,-3.318743189999999998e+01,-3.583183569999999918e+01,-4.458357699999999824e+01
2.691534800000000005e-01,8.895221299999999331e+00,2.923894859999999873e+00,-3.318167969999999656e+01,-3.582860310000000226e+01,-4.455150679999999852e+01
2.754228699999999863e-01,8.896399040000000369e+00,2.925087469999999801e+00,-3.317576859999999783e+01,-3.582529439999999710e+01,-4.451833799999999997e+01
2.818382930000000175e-01,8.897524940000000271e+00,2.926227789999999995e+00,-3.316968709999999732e+01,-3.582190299999999894e+01,-4.448402910000000077e+01
2.884031499999999970e-01,8.898601149999999294e+00,2.927317990000000147e+00,-3.316342329999999805e+01,-3.581842209999999938e+01,-4.444853810000000038e+01
2.951209229999999795e-01,8.899629770000000661e+00,2.928360210000000130e+00,-3.315696479999999724e+01,-3.581484460000000070e+01,-4.441182260000000070e+01
3.019951719999999784e-01,8.900612790000000274e+00,2.929356460000000162e+00,-3.315029909999999802e+01,-3.581116339999999809e+01,-4.437384000000000128e+01
3.090295430000000176e-01,8.901552139999999724e+00,2.930308689999999938e+00,-3.314341340000000002e+01,-3.580737109999999745e+01,-4.433454720000000293e+01
3.162277660000000212e-01,8.902449649999999437e+00,2.931218760000000145e+00,-3.313629410000000064e+01,-3.580346000000000117e+01,-4.429390099999999819e+01
3.235936569999999790e-01,8.903307090000000201e+00,2.932088470000000058e+00,-3.312892759999999726e+01,-3.579942230000000336e+01,-4.425185809999999975e+01
3.311311209999999727e-01,8.904126149999999740e+00,2.932919529999999941e+00,-3.312129980000000273e+01,-3.579524990000000173e+01,-4.420837519999999898e+01
3.388441560000000075e-01,8.904908450000000641e+00,2.933713580000000043e+00,-3.311339590000000044e+01,-3.579093449999999876e+01,-4.416340890000000030e+01
3.467368499999999854e-01,8.905655539999999704e+00,2.934472210000000025e+00,-3.310520100000000099e+01,-3.578646729999999820e+01,-4.411691580000000101e+01
3.548133889999999790e-01,8.906368909999999417e+00,2.935196920000000098e+00,-3.309669949999999972e+01,-3.578183959999999786e+01,-4.406885309999999834e+01
3.630780550000000106e-01,8.907049999999999912e+00,2.935889159999999887e+00,-3.308787530000000032e+01,-3.577704210000000273e+01,-4.401917780000000135e+01
3.715352290000000224e-01,8.907700150000000150e+00,2.936550309999999886e+00,-3.307871180000000066e+01,-3.577206530000000129e+01,-4.396784759999999892e+01
3.801893960000000128e-01,8.908320679999999214e+00,2.937181719999999885e+00,-3.306919200000000103e+01,-3.576689929999999862e+01,-4.391482069999999993e+01
3.890451449999999811e-01,8.908912830000000227e+00,2.937784629999999897e+00,-3.305929820000000063e+01,-3.576153390000000343e+01,-4.386005560000000258e+01
3.981071709999999819e-01,8.909477799999999448e+00,2.938360279999999936e+00,-3.304901219999999995e+01,-3.575595849999999842e+01,-4.380351199999999778e+01
4.073802779999999846e-01,8.910016730000000607e+00,2.938909820000000117e+00,-3.303831499999999721e+01,-3.575016229999999950e+01,-4.374514990000000125e+01
4.168693829999999823e-01,8.910530709999999743e+00,2.939434379999999791e+00,-3.302718730000000136e+01,-3.574413380000000018e+01,-4.368493050000000011e+01
4.265795190000000181e-01,8.911020790000000247e+00,2.939935000000000187e+00,-3.301560889999999659e+01,-3.573786139999999989e+01,-4.362281589999999909e+01
4.365158319999999925e-01,8.911487960000000541e+00,2.940412719999999869e+00,-3.300355919999999799e+01,-3.573133279999999701e+01,-4.355876959999999798e+01
4.466835920000000182e-01,8.911933169999999294e+00,2.940868510000000047e+00,-3.299101670000000297e+01,-3.572453540000000061e+01,-4.349275599999999997e+01
4.570881900000000053e-01,8.912357339999999795e+00,2.941303290000000015e+00,-3.297795940000000314e+01,-3.571745620000000088e+01,-4.342474109999999854e+01
4.677351410000000209e-01,8.912761319999999543e+00,2.941717960000000076e+00,-3.296436440000000090e+01,-3.571008160000000231e+01,-4.335469239999999758e+01
4.786300920000000070e-01,8.913145950000000539e+00,2.942113360000000011e+00,-3.295020819999999873e+01,-3.570239749999999646e+01,-4.328257889999999719e+01
4.897788189999999764e-01,8.913512020000000646e+00,2.942490310000000164e+00,-3.293546669999999921e+01,-3.569438949999999977e+01,-4.320837130000000315e+01
5.011872339999999815e-01,8.913860279999999747e+00,2.942849579999999854e+00,-3.292011490000000151e+01,-3.568604229999999689e+01,-4.313204209999999961e+01
5.128613840000000312e-01,8.914191430000000693e+00,2.943191909999999911e+00,-3.290412700000000257e+01,-3.567734029999999734e+01,-4.305356570000000005e+01
5.248074600000000034e-01,8.914506169999999230e+00,2.943518000000000079e+00,-3.288747649999999823e+01,-3.566826729999999657e+01,-4.297291859999999986e+01
5.370317959999999502e-01,8.914805149999999401e+00,2.943828540000000160e+00,-3.287013619999999747e+01,-3.565880649999999719e+01,-4.289007910000000123e+01
5.495408739999999570e-01,8.915088969999999335e+00,2.944124149999999940e+00,-3.285207809999999995e+01,-3.564894050000000192e+01,-4.280502810000000125e+01
5.623413250000000030e-01,8.915358230000000717e+00,2.944405450000000091e+00,-3.283327330000000188e+01,-3.563865129999999937e+01,-4.271774820000000261e+01
5.754399369999999569e-01,8.915613490000000141e+00,2.944673020000000196e+00,-3.281369219999999842e+01,-3.562792009999999721e+01,-4.262822469999999697e+01
