f_ghz,s21_msb_db,s21_lsb_db,s11_msb_db,s11_lsb_db,s22_db
1.000000000000000056e-01,8.071582100000000537e+00,2.093628890000000187e+00,-2.775316360000000060e+01,-2.882216030000000018e+01,-4.534985700000000008e+01
1.023292989999999986e-01,8.078868330000000597e+00,2.100982709999999809e+00,-2.774979839999999953e+01,-2.882025489999999834e+01,-4.534032160000000289e+01
1.047128549999999936e-01,8.085893170000000296e+00,2.108072850000000109e+00,-2.774653939999999963e+01,-2.881841169999999863e+01,-4.533062060000000315e+01
1.071519310000000058e-01,8.092663390000000234e+00,2.114906139999999990e+00,-2.774338350000000020e+01,-2.881662929999999889e+01,-4.532076529999999792e+01
1.096478199999999931e-01,8.099185779999999113e+00,2.121489420000000070e+00,-2.774032779999999931e+01,-2.881490600000000057e+01,-4.531076490000000234e+01
1.122018449999999945e-01,8.105467179999999772e+00,2.127829569999999837e+00,-2.773736919999999984e+01,-2.881324019999999919e+01,-4.530062620000000351e+01
1.148153620000000041e-01,8.111514400000000791e+00,2.133933470000000110e+00,-2.773450449999999989e+01,-2.881163030000000091e+01,-4.529035429999999707e+01
1.174897550000000013e-01,8.117334220000000045e+00,2.139807960000000175e+00,-2.773173059999999879e+01,-2.881007460000000009e+01,-4.527995219999999676e+01
1.202264430000000023e-01,8.122933420000000737e+00,2.145459840000000007e+00,-2.772904430000000175e+01,-2.880857140000000172e+01,-4.526942119999999647e+01
1.230268770000000067e-01,8.128318690000000402e+00,2.150895890000000144e+00,-2.772644250000000099e+01,-2.880711910000000131e+01,-4.525876079999999746e+01
1.258925409999999967e-01,8.133496669999999540e+00,2.156122789999999956e+00,-2.772392200000000173e+01,-2.880571589999999915e+01,-4.524796889999999649e+01
1.288249549999999910e-01,8.138473919999999140e+00,2.161147160000000067e+00,-2.772147969999999972e+01,-2.880436029999999903e+01,-4.523704169999999891e+01
1.318256740000000038e-01,8.143256900000000797e+00,2.165975509999999993e+00,-2.771911220000000142e+01,-2.880305040000000005e+01,-4.522597420000000312e+01
1.348962880000000031e-01,8.147851989999999489e+00,2.170614270000000179e+00,-2.771681650000000019e+01,-2.880178469999999891e+01,-4.521475970000000189e+01
1.380384259999999919e-01,8.152265440000000751e+00,2.175069759999999963e+00,-2.771458940000000126e+01,-2.880056150000000059e+01,-4.520339020000000119e+01
1.412537540000000091e-01,8.156503409999999121e+00,2.179348169999999918e+00,-2.771242780000000039e+01,-2.879937920000000062e+01,-4.519185650000000010e+01
1.445439769999999902e-01,8.160571900000000767e+00,2.183455570000000012e+00,-2.771032849999999925e+01,-2.879823599999999928e+01,-4.518014819999999787e+01
1.479108389999999884e-01,8.164476820000000856e+00,2.187397919999999996e+00,-2.770828849999999832e+01,-2.879713050000000152e+01,-4.516825349999999872e+01
1.513561250000000080e-01,8.168223929999999910e+00,2.191181030000000085e+00,-2.770630459999999928e+01,-2.879606100000000168e+01,-4.515615970000000345e+01
1.548816620000000033e-01,8.171818849999999301e+00,2.194810570000000016e+00,-2.770437379999999905e+01,-2.879502589999999884e+01,-4.514385289999999884e+01
1.584893189999999896e-01,8.175267079999999353e+00,2.198292089999999810e+00,-2.770249310000000165e+01,-2.879402370000000033e+01,-4.513131810000000144e+01
1.621810099999999866e-01,8.178573970000000415e+00,2.201630980000000015e+00,-2.770065939999999927e+01,-2.879305270000000050e+01,-4.511853959999999830e+01
1.659586909999999915e-01,8.181744719999999305e+00,2.204832489999999812e+00,-2.769886969999999948e+01,-2.879211159999999836e+01,-4.510550020000000160e+01
1.698243650000000049e-01,8.184784390000000798e+00,2.207901740000000057e+00,-2.769712120000000155e+01,-2.879119880000000009e+01,-4.509218210000000227e+01
1.737800830000000019e-01,8.187697910000000689e+00,2.210843679999999978e+00,-2.769541070000000005e+01,-2.879031279999999882e+01,-4.507856660000000204e+01
