f_ghz,s21_msb_db,s21_lsb_db,s11_msb_db,s11_lsb_db,s22_db
1.000000000000000056e-01,8.032246389999999181e+00,2.057657199999999964e+00,-3.329429460000000063e+01,-3.570809299999999809e+01,-2.744648559999999904e+01
1.023292989999999986e-01,8.039325220000000272e+00,2.064807989999999815e+00,-3.328732300000000066e+01,-3.570344089999999682e+01,-2.744570889999999963e+01
1.047128549999999936e-01,8.046149939999999390e+00,2.071702210000000210e+00,-3.328056019999999648e+01,-3.569893259999999913e+01,-2.744493110000000158e+01
1.071519310000000058e-01,8.052727120000000127e+00,2.078346520000000197e+00,-3.327399940000000100e+01,-3.569456389999999857e+01,-2.744415419999999983e+01
1.096478199999999931e-01,8.059063390000000382e+00,2.084747600000000034e+00,-3.326763340000000113e+01,-3.569033019999999823e+01,-2.744338000000000122e+01
1.122018449999999945e-01,8.065165410000000534e+00,2.090912139999999919e+00,-3.326145509999999916e+01,-3.568622729999999876e+01,-2.744261020000000073e+01
1.148153620000000041e-01,8.071039799999999431e+00,2.096846839999999990e+00,-3.325545720000000216e+01,-3.568225060000000326e+01,-2.744184600000000174e+01
1.174897550000000013e-01,8.076693179999999472e+00,2.102558380000000060e+00,-3.324963259999999821e+01,-3.567839560000000176e+01,-2.744108879999999928e+01
1.202264430000000023e-01,8.082132120000000697e+00,2.108053379999999866e+00,-3.324397400000000147e+01,-3.567465779999999853e+01,-2.744033950000000033e+01
1.230268770000000067e-01,8.087363160000000661e+00,2.113338440000000151e+00,-3.323847390000000246e+01,-3.567103259999999665e+01,-2.743959919999999997e+01
1.258925409999999967e-01,8.092392750000000134e+00,2.118420060000000049e+00,-3.323312529999999754e+01,-3.566751539999999920e+01,-2.743886850000000166e+01
1.288249549999999910e-01,8.097227269999999422e+00,2.123304689999999884e+00,-3.322792059999999736e+01,-3.566410179999999741e+01,-2.743814809999999937e+01
1.318256740000000038e-01,8.101873010000000264e+00,2.127998680000000142e+00,-3.322285260000000306e+01,-3.566078699999999913e+01,-2.743743840000000134e+01
1.348962880000000031e-01,8.106336170000000507e+00,2.132508290000000084e+00,-3.321791400000000039e+01,-3.565756660000000267e+01,-2.743674000000000035e+01
1.380384259999999919e-01,8.110622839999999556e+00,2.136839650000000201e+00,-3.321309750000000349e+01,-3.565443599999999691e+01,-2.743605300000000113e+01
1.412537540000000091e-01,8.114739000000000146e+00,2.140998800000000202e+00,-3.320839579999999813e+01,-3.565139070000000032e+01,-2.743537759999999892e+01
1.445439769999999902e-01,8.118690499999999588e+00,2.144991660000000078e+00,-3.320380169999999964e+01,-3.564842620000000295e+01,-2.743471399999999960e+01
1.479108389999999884e-01,8.122483069999999472e+00,2.148824020000000168e+00,-3.319930790000000087e+01,-3.564553800000000194e+01,-2.743406209999999845e+01
1.513561250000000080e-01,8.126122320000000343e+00,2.152501519999999946e+00,-3.319490720000000294e+01,-3.564272160000000156e+01,-2.743342189999999903e+01
1.548816620000000033e-01,8.129613720000000043e+00,2.156029709999999877e+00,-3.319059239999999988e+01,-3.563997249999999894e+01,-2.743279310000000137e+01
1.584893189999999896e-01,8.132962620000000697e+00,2.159413949999999804e+00,-3.318635640000000109e+01,-3.563728650000000187e+01,-2.743217569999999839e+01
1.621810099999999866e-01,8.136174190000000195e+00,2.162659520000000057e+00,-3.318219200000000058e+01,-3.563465899999999920e+01,-2.743156940000000077e+01
1.659586909999999915e-01,8.139253520000000464e+00,2.165771519999999839e+00,-3.317809199999999947e+01,-3.563208569999999753e+01,-2.743097369999999913e+01
1.698243650000000049e-01,8.142205519999999197e+00,2.168754920000000030e+00,-3.317404930000000007e+01,-3.562956230000000346e+01,-2.743038839999999823e+01
1.737800830000000019e-01,8.145034980000000147e+00,2.171614550000000143e+00,-3.317005679999999757e+01,-3.562708440000000110e+01,-2.742981299999999933e+01
1.778279409999999894e-01,8.147746520000000103e+00,2.174355100000000096e+00,-3.316610730000000018e+01,-3.562464760000000297e+01,-2.742924710000000132e+01
1.819700860000000031e-01,8.150344670000000846e+00,2.176981120000000214e+00,-3.316219379999999717e+01,-3.562224779999999669e+01,-2.742869010000000074e+01
1.862087139999999974e-01,8.152833770000000868e+00,2.179497009999999957e+00,-3.315830890000000153e+01,-3.561988060000000189e+01,-2.742814160000000001e+01
1.905460720000000108e-01,8.155218059999999269e+00,2.181907059999999898e+00,-3.315444569999999658e+01,-3.561754169999999675e+01,-2.742760099999999923e+01
1.949844599999999983e-01,8.157501639999999554e+00,2.184215379999999929e+00,-3.315059680000000242e+01,-3.561522690000000324e+01,-2.742706760000000088e+01
1.995262309999999983e-01,8.159688440000000043e+00,2.186425980000000102e+00,-3.314675510000000003e+01,-3.561293179999999836e+01,-2.742654080000000150e+01
2.041737939999999918e-01,8.161782309999999541e+00,2.188542729999999992e+00,-3.314291320000000240e+01,-3.561065219999999698e+01,-2.742602009999999879e+01
2.089296129999999863e-01,8.163786939999999603e+00,2.190569360000000021e+00,-3.313906389999999647e+01,-3.560838379999999859e+01,-2.742550460000000001e+01
2.137962089999999871e-01,8.165705889999999911e+00,2.192509480000000011e+00,-3.313519970000000114e+01,-3.560612220000000150e+01,-2.742499379999999931e+01
2.187761619999999962e-01,8.167542609999999925e+00,2.194366570000000127e+00,-3.313131309999999985e+01,-3.560386319999999927e+01,-2.742448690000000155e+01
2.238721140000000109e-01,8.169300429999999835e+00,2.196143979999999996e+00,-3.312739669999999848e+01,-3.560160230000000325e+01,-2.742398319999999856e+01
2.290867649999999978e-01,8.170982529999999855e+00,2.197844949999999908e+00,-3.312344269999999824e+01,-3.559933529999999990e+01,-2.742348180000000113e+01
2.344228819999999991e-01,8.172592019999999735e+00,2.199472609999999939e+00,-3.311944350000000270e+01,-3.559705749999999824e+01,-2.742298200000000108e+01
2.398832919999999980e-01,8.174131859999999250e+00,2.201029950000000124e+00,-3.311539109999999653e+01,-3.559476469999999892e+01,-2.742248310000000089e+01
2.454708919999999961e-01,8.175604910000000558e+00,2.202519880000000096e+00,-3.311127749999999992e+01,-3.559245210000000270e+01,-2.742198420000000070e+01
2.511886429999999892e-01,8.177013929999999320e+00,2.203945179999999837e+00,-3.310709460000000348e+01,-3.559011540000000196e+01,-2.742148440000000065e+01
2.570395779999999908e-01,8.178361569999999858e+00,2.205308519999999994e+00,-3.310283419999999666e+01,-3.558774970000000337e+01,-2.742098289999999849e+01
2.630267989999999778e-01,8.179650369999999171e+00,2.206612489999999926e+00,-3.309848769999999973e+01,-3.558535030000000177e+01,-2.742047880000000148e+01
2.691534800000000005e-01,8.180882790000000071e+00,2.207859570000000105e+00,-3.309404659999999865e+01,-3.558291249999999906e+01,-2.741997119999999910e+01
2.754228699999999863e-01,8.182061190000000650e+00,2.209052129999999892e+00,-3.308950190000000191e+01,-3.558043130000000076e+01,-2.741945929999999976e+01
2.818382930000000175e-01,8.183187820000000556e+00,2.210192469999999965e+00,-3.308484469999999789e+01,-3.557790169999999819e+01,-2.741894200000000126e+01
2.884031499999999970e-01,8.184264860000000752e+00,2.211282779999999892e+00,-3.308006559999999752e+01,-3.557531869999999685e+01,-2.741841840000000019e+01
2.951209229999999795e-01,8.185294380000000203e+00,2.212325180000000113e+00,-3.307515529999999870e+01,-3.557267689999999760e+01,-2.741788749999999908e+01
3.019951719999999784e-01,8.186278409999999894e+00,2.213321699999999836e+00,-3.307010389999999944e+01,-3.556997109999999651e+01,-2.741734819999999928e+01
3.090295430000000176e-01,8.187218850000000714e+00,2.214274280000000150e+00,-3.306490139999999656e+01,-3.556719569999999919e+01,-2.741679969999999855e+01
3.162277660000000212e-01,8.188117540000000361e+00,2.215184779999999964e+00,-3.305953749999999758e+01,-3.556434509999999705e+01,-2.741624069999999946e+01
