f_ghz,s21_msb_db,s21_lsb_db,s11_msb_db,s11_lsb_db,s22_db
1.000000000000000056e-01,8.088425409999999260e+00,2.111539679999999919e+00,-3.904489269999999834e+01,-4.430627359999999726e+01,-3.105144179999999920e+01
1.023292989999999986e-01,8.094841710000000745e+00,2.118018080000000136e+00,-3.903247960000000205e+01,-4.429463239999999757e+01,-3.105025949999999924e+01
1.047128549999999936e-01,8.101026980000000322e+00,2.124263319999999844e+00,-3.902037450000000263e+01,-4.428327680000000299e+01,-3.104907499999999843e+01
1.071519310000000058e-01,8.106987249999999534e+00,2.130281500000000161e+00,-3.900856259999999764e+01,-4.427219310000000263e+01,-3.104789089999999874e+01
1.096478199999999931e-01,8.112728600000000512e+00,2.136078749999999804e+00,-3.899702880000000249e+01,-4.426136739999999747e+01,-3.104670989999999975e+01
1.122018449999999945e-01,8.118257120000000882e+00,2.141661190000000214e+00,-3.898575790000000296e+01,-4.425078549999999922e+01,-3.104553410000000113e+01
1.148153620000000041e-01,8.123578880000000169e+00,2.147034950000000109e+00,-3.897473459999999790e+01,-4.424043350000000174e+01,-3.104436540000000022e+01
1.174897550000000013e-01,8.128699929999999796e+00,2.152206140000000101e+00,-3.896394370000000151e+01,-4.423029700000000020e+01,-3.104320560000000029e+01
1.202264430000000023e-01,8.133626290000000481e+00,2.157180809999999838e+00,-3.895336970000000321e+01,-4.422036169999999800e+01,-3.104205590000000115e+01
1.230268770000000067e-01,8.138363910000000701e+00,2.161964989999999975e+00,-3.894299699999999831e+01,-4.421061319999999739e+01,-3.104091760000000022e+01
1.258925409999999967e-01,8.142918690000000126e+00,2.166564610000000002e+00,-3.893281009999999753e+01,-4.420103689999999830e+01,-3.103979160000000093e+01
1.288249549999999910e-01,8.147296450000000689e+00,2.170985560000000092e+00,-3.892279340000000332e+01,-4.419161830000000180e+01,-3.103867869999999840e+01
1.318256740000000038e-01,8.151502929999999481e+00,2.175233620000000201e+00,-3.891293100000000038e+01,-4.418234269999999952e+01,-3.103757960000000082e+01
1.348962880000000031e-01,8.155543789999999404e+00,2.179314489999999882e+00,-3.890320739999999944e+01,-4.417319549999999850e+01,-3.103649449999999987e+01
1.380384259999999919e-01,8.159424559999999715e+00,2.183233770000000185e+00,-3.889360659999999825e+01,-4.416416170000000108e+01,-3.103542380000000023e+01
1.412537540000000091e-01,8.163150699999999205e+00,2.186996950000000162e+00,-3.888411279999999692e+01,-4.415522659999999888e+01,-3.103436749999999833e+01
1.445439769999999902e-01,8.166727529999999291e+00,2.190609419999999918e+00,-3.887471000000000032e+01,-4.414637520000000137e+01,-3.103332560000000129e+01
1.479108389999999884e-01,8.170160279999999275e+00,2.194076439999999906e+00,-3.886538219999999910e+01,-4.413759249999999668e+01,-3.103229800000000083e+01
1.513561250000000080e-01,8.173454039999999310e+00,2.197403159999999911e+00,-3.885611329999999697e+01,-4.412886340000000018e+01,-3.103128420000000176e+01
1.548816620000000033e-01,8.176613780000000276e+00,2.200594600000000067e+00,-3.884688700000000239e+01,-4.412017259999999652e+01,-3.103028409999999937e+01
1.584893189999999896e-01,8.179644370000000109e+00,2.203655659999999905e+00,-3.883768709999999658e+01,-4.411150479999999874e+01,-3.102929689999999852e+01
1.621810099999999866e-01,8.182550530000000322e+00,2.206591110000000189e+00,-3.882849709999999988e+01,-4.410284450000000334e+01,-3.102832229999999925e+01
1.659586909999999915e-01,8.185336859999999604e+00,2.209405589999999808e+00,-3.881930040000000304e+01,-4.409417630000000088e+01,-3.102735940000000170e+01
1.698243650000000049e-01,8.188007819999999271e+00,2.212103630000000098e+00,-3.881008039999999681e+01,-4.408548429999999740e+01,-3.102640750000000125e+01
1.737800830000000019e-01,8.190567769999999470e+00,2.214689599999999814e+00,-3.880082029999999804e+01,-4.407675270000000012e+01,-3.102546579999999921e+01
1.778279409999999894e-01,8.193020920000000373e+00,2.217167760000000154e+00,-3.879150280000000350e+01,-4.406796549999999968e+01,-3.102453330000000165e+01
1.819700860000000031e-01,8.195371350000000277e+00,2.219542240000000000e+00,-3.878211089999999928e+01,-4.405910620000000222e+01,-3.102360919999999922e+01
1.862087139999999974e-01,8.197623019999999983e+00,2.221817029999999971e+00,-3.877262710000000112e+01,-4.405015860000000316e+01,-3.102269240000000039e+01
1.905460720000000108e-01,8.199779780000000073e+00,2.223996019999999962e+00,-3.876303370000000115e+01,-4.404110579999999686e+01,-3.102178179999999941e+01
1.949844599999999983e-01,8.201845329999999379e+00,2.226082949999999894e+00,-3.875331280000000334e+01,-4.403193100000000015e+01,-3.102087620000000001e+01
1.995262309999999983e-01,8.203823269999999113e+00,2.228081449999999908e+00,-3.874344609999999989e+01,-4.402261699999999678e+01,-3.101997450000000001e+01
2.041737939999999918e-01,8.205717059999999563e+00,2.229995010000000111e+00,-3.873341520000000315e+01,-4.401314620000000133e+01,-3.101907539999999841e+01
2.089296129999999863e-01,8.207530050000000799e+00,2.231827029999999823e+00,-3.872320140000000066e+01,-4.400350079999999764e+01,-3.101817769999999896e+01
2.137962089999999871e-01,8.209265479999999116e+00,2.233580780000000043e+00,-3.871278540000000135e+01,-4.399366280000000273e+01,-3.101727989999999835e+01
2.187761619999999962e-01,8.210926470000000421e+00,2.235259399999999896e+00,-3.870214779999999877e+01,-4.398361359999999820e+01,-3.101638080000000031e+01
2.238721140000000109e-01,8.212516029999999745e+00,2.236865949999999881e+00,-3.869126870000000196e+01,-4.397333449999999999e+01,-3.101547890000000152e+01
2.290867649999999978e-01,8.214037069999999829e+00,2.238403350000000014e+00,-3.868012790000000223e+01,-4.396280610000000166e+01,-3.101457279999999983e+01
2.344228819999999991e-01,8.215492369999999767e+00,2.239874420000000033e+00,-3.866870469999999926e+01,-4.395200890000000271e+01,-3.101366080000000025e+01
2.398832919999999980e-01,8.216884639999999962e+00,2.241281900000000160e+00,-3.865697790000000111e+01,-4.394092280000000272e+01,-3.101274159999999824e+01
