# Logfile created on 2026-08-18 11:30:41 -0400 by logger.rb/61378
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/noorizad/spicexplorer-workspace/external/agentic-design-pam4-driver-ihp130/report/work/b/dut_pam4.gds
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : Ruby Version for klayout: 2.5.9
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : Loading database to memory is complete.
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : IHP-SG13G2 Klayout DRC runset output at: /home/noorizad/spicexplorer-workspace/external/agentic-design-pam4-driver-ihp130/report/work/b/signoff/drc/dut_pam4_pam4drv_pam4_lay_main.lyrdb
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : Evaluate switches.
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : table_name selected  main
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : Klayout will use 128 thread(s)
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : deep mode is enabled for main table.
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : FEOL enabled: true
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : BEOL enabled: true
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : OffGrid enabled: true
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : PreCheck DRC enabled: false
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : CONNECTIVITY_RULES enabled: true for table main
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : Read in polygons from layers.
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : activ_drw has 68 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : activ_pin has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : activ_mask has 12 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : activ_filler has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : activ_nofill has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : activ_opc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : activ_iopc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : activ_noqrc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : biwind_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : biwind_opc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : pemwind_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : gatpoly_drw has 24 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : gatpoly_pin has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : gatpoly_filler has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : gatpoly_nofill has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : gatpoly_opc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : gatpoly_iopc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : gatpoly_noqrc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : cont_drw has 972 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : cont_opc has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : nsd_drw has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : nsd_block has 24 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : metal1_drw has 111 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : metal1_pin has 48 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : metal1_mask has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (413388K) : metal1_filler has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (415592K) : metal1_nofill has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (415592K) : metal1_slit has 0 polygons
2026-08-18 11:30:41 -0400: Memory Usage (415592K) : metal1_text has 6 polygons
2026-08-18 11:30:41 -0400: Memory Usage (415592K) : metal1_opc has 0 polygons
