# Logfile created on 2026-08-18 11:31:37 -0400 by logger.rb/61378
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/noorizad/spicexplorer-workspace/external/agentic-design-pam4-driver-ihp130/report/work/c/dut_pam4.gds
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : Ruby Version for klayout: 2.5.9
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : Loading database to memory is complete.
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : IHP-SG13G2 Klayout DRC runset output at: /home/noorizad/spicexplorer-workspace/external/agentic-design-pam4-driver-ihp130/report/work/c/signoff/drc/dut_pam4_pam4drv_pam4_lay_main.lyrdb
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : Evaluate switches.
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : table_name selected  main
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : Klayout will use 128 thread(s)
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : deep mode is enabled for main table.
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : FEOL enabled: true
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : BEOL enabled: true
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : OffGrid enabled: true
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : PreCheck DRC enabled: false
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : CONNECTIVITY_RULES enabled: true for table main
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : Read in polygons from layers.
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : activ_drw has 68 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : activ_pin has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : activ_mask has 12 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : activ_filler has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : activ_nofill has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : activ_opc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : activ_iopc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : activ_noqrc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : biwind_drw has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : biwind_opc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : pemwind_drw has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : gatpoly_drw has 24 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : gatpoly_pin has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : gatpoly_filler has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : gatpoly_nofill has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : gatpoly_opc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : gatpoly_iopc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : gatpoly_noqrc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : cont_drw has 950 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : cont_opc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : nsd_drw has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : nsd_block has 24 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : metal1_drw has 94 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : metal1_pin has 48 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : metal1_mask has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (413860K) : metal1_filler has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416004K) : metal1_nofill has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416004K) : metal1_slit has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416004K) : metal1_text has 6 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416004K) : metal1_opc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416004K) : metal1_noqrc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416004K) : metal1_res has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416004K) : metal1_iprobe has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416448K) : metal1_diffprb has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416448K) : passiv_drw has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416448K) : passiv_pin has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416448K) : passiv_sbump has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416448K) : passiv_pillar has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : passiv_pdl has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_drw has 44 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_pin has 12 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_mask has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_filler has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_nofill has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_slit has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_text has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_opc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_noqrc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_res has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_iprobe has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416712K) : metal2_diffprb has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416976K) : baspoly_drw has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416976K) : baspoly_pin has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416976K) : psd_drw has 20 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416976K) : nldb_drw has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416976K) : digibnd_drw has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (416976K) : via1_drw has 504 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417300K) : backmetal1_drw has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417300K) : backmetal1_pin has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417300K) : backmetal1_mask has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417300K) : backmetal1_filler has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417300K) : backmetal1_nofill has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417300K) : backmetal1_slit has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417564K) : backmetal1_text has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417564K) : backmetal1_opc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417564K) : backmetal1_noqrc has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417564K) : backmetal1_res has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417564K) : backmetal1_iprobe has 0 polygons
2026-08-18 11:31:37 -0400: Memory Usage (417564K) : backmetal1_diffprb has 0 polygons
